Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
4,63	5,53	3,73	0,00	4,59	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	5,13	0,00	2,65	0,00	3,36	0,00	3,75	0,00	3,95	0,00	-999,0	0,00	5,17	0,00	4,52	0,00	3,21	0,00	2,77	0,00	4,94	0,00	4,94	0,00	5,28	0,00	5,84	0,00	5,57	0,00	3,67	0,00	6,67	0,00	8,58	0,00	7,32	0,00	5,20	0,00	5,33
4,63	5,53	3,73	0,02	4,59	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	5,13	0,02	2,65	0,02	3,36	0,02	3,75	0,02	3,95	0,02	-999,0	0,02	5,17	0,02	4,52	0,02	3,21	0,02	2,77	0,02	4,93	0,02	4,94	0,02	5,28	0,02	5,84	0,02	5,57	0,02	3,67	0,02	6,67	0,02	8,58	0,02	7,32	0,02	5,20	0,02	5,33
4,63	5,52	3,73	0,03	4,59	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	5,13	0,03	2,65	0,03	3,36	0,03	3,75	0,03	3,95	0,03	-999,0	0,03	5,17	0,03	4,52	0,03	3,21	0,03	2,77	0,03	4,93	0,03	4,94	0,03	5,28	0,03	5,84	0,03	5,56	0,03	3,67	0,03	6,67	0,03	8,58	0,03	7,31	0,03	5,19	0,03	5,33
4,62	5,52	3,73	0,05	4,59	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	5,12	0,05	2,65	0,05	3,36	0,05	3,75	0,05	3,95	0,05	-999,0	0,05	5,17	0,05	4,52	0,05	3,21	0,05	2,77	0,05	4,91	0,05	4,93	0,05	5,28	0,05	5,84	0,05	5,56	0,05	3,67	0,05	6,66	0,05	8,57	0,05	7,31	0,05	5,19	0,05	5,32
4,62	5,52	3,73	0,07	4,59	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	5,12	0,07	2,65	0,07	3,36	0,07	3,75	0,07	3,95	0,07	-999,0	0,07	5,17	0,07	4,52	0,07	3,21	0,07	2,77	0,07	4,90	0,07	4,92	0,07	5,28	0,07	5,83	0,07	5,56	0,07	3,67	0,07	6,66	0,07	8,56	0,07	7,31	0,07	5,19	0,07	5,32
4,62	5,52	3,73	0,08	4,59	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	5,12	0,08	2,65	0,08	3,36	0,08	3,75	0,08	3,95	0,08	-999,0	0,08	5,17	0,08	4,52	0,08	3,21	0,08	2,77	0,08	4,88	0,08	4,90	0,08	5,28	0,08	5,83	0,08	5,55	0,08	3,66	0,08	6,66	0,08	8,55	0,08	7,30	0,08	5,19	0,08	5,32
4,62	5,51	3,72	0,10	4,59	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	5,11	0,10	2,64	0,10	3,35	0,10	3,75	0,10	3,95	0,10	-999,0	0,10	5,17	0,10	4,53	0,10	3,21	0,10	2,76	0,10	4,87	0,10	4,87	0,10	5,27	0,10	5,82	0,10	5,55	0,10	3,66	0,10	6,65	0,10	8,54	0,10	7,30	0,10	5,18	0,10	5,32
4,62	5,51	3,72	0,12	4,59	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	5,11	0,12	2,64	0,12	3,35	0,12	3,75	0,12	3,95	0,12	-999,0	0,12	5,17	0,12	4,53	0,12	3,21	0,12	2,76	0,12	4,85	0,12	4,85	0,12	5,26	0,12	5,82	0,12	5,54	0,12	3,66	0,12	6,65	0,12	8,53	0,12	7,29	0,12	5,18	0,12	5,32
4,61	5,51	3,72	0,13	4,58	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	5,10	0,13	2,64	0,13	3,35	0,13	3,75	0,13	3,95	0,13	-999,0	0,13	5,17	0,13	4,53	0,13	3,21	0,13	2,75	0,13	4,84	0,13	4,83	0,13	5,24	0,13	5,81	0,13	5,53	0,13	3,66	0,13	6,64	0,13	8,51	0,13	7,28	0,13	5,17	0,13	5,32
4,61	5,50	3,72	0,15	4,58	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	5,09	0,15	2,64	0,15	3,35	0,15	3,75	0,15	3,95	0,15	-999,0	0,15	5,17	0,15	4,53	0,15	3,21	0,15	2,75	0,15	4,82	0,15	4,81	0,15	5,21	0,15	5,81	0,15	5,52	0,15	3,66	0,15	6,63	0,15	8,49	0,15	7,27	0,15	5,16	0,15	5,32
4,60	5,50	3,71	0,17	4,58	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	5,09	0,17	2,64	0,17	3,34	0,17	3,75	0,17	3,95	0,17	-999,0	0,17	5,17	0,17	4,53	0,17	3,21	0,17	2,74	0,17	4,81	0,17	4,79	0,17	5,18	0,17	5,80	0,17	5,51	0,17	3,66	0,17	6,63	0,17	8,47	0,17	7,26	0,17	5,15	0,17	5,32
4,60	5,50	3,71	0,18	4,57	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	5,08	0,18	2,64	0,18	3,34	0,18	3,75	0,18	3,95	0,18	-999,0	0,18	5,17	0,18	4,53	0,18	3,21	0,18	2,73	0,18	4,79	0,18	4,77	0,18	5,15	0,18	5,78	0,18	5,50	0,18	3,65	0,18	6,62	0,18	8,45	0,18	7,24	0,18	5,15	0,18	5,32
4,60	5,50	3,70	0,20	4,57	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	5,07	0,20	2,63	0,20	3,33	0,20	3,75	0,20	3,95	0,20	-999,0	0,20	5,17	0,20	4,53	0,20	3,20	0,20	2,73	0,20	4,78	0,20	4,75	0,20	5,12	0,20	5,76	0,20	5,49	0,20	3,65	0,20	6,61	0,20	8,43	0,20	7,23	0,20	5,14	0,20	5,32
4,59	5,49	3,70	0,22	4,56	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	5,06	0,22	2,63	0,22	3,33	0,22	3,74	0,22	3,95	0,22	-999,0	0,22	5,17	0,22	4,54	0,22	3,19	0,22	2,72	0,22	4,76	0,22	4,73	0,22	5,09	0,22	5,72	0,22	5,47	0,22	3,65	0,22	6,60	0,22	8,40	0,22	7,22	0,22	5,13	0,22	5,32
4,58	5,48	3,69	0,23	4,55	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	5,05	0,23	2,63	0,23	3,32	0,23	3,74	0,23	3,95	0,23	-999,0	0,23	5,17	0,23	4,53	0,23	3,19	0,23	2,71	0,23	4,75	0,23	4,71	0,23	5,06	0,23	5,67	0,23	5,46	0,23	3,64	0,23	6,59	0,23	8,38	0,23	7,20	0,23	5,12	0,23	5,31
