Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
3,70	4,09	3,31	0,00	4,16	0,00	4,00	0,00	3,36	0,00	2,66	0,00	3,91	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	3,43	0,00	3,83	0,00	3,11	0,00	2,76	0,00	4,19	0,00	3,72	0,00	3,72	0,00	5,14	0,00	5,18	0,00	3,30	0,00	4,78	0,00	5,78	0,00	4,83	0,00	3,28	0,00	4,17
3,70	4,09	3,31	0,02	4,16	0,02	4,00	0,02	3,36	0,02	2,66	0,02	3,91	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	3,43	0,02	3,83	0,02	3,11	0,02	2,76	0,02	4,19	0,02	3,72	0,02	3,72	0,02	5,14	0,02	5,18	0,02	3,30	0,02	4,78	0,02	5,78	0,02	4,83	0,02	3,28	0,02	4,17
3,70	4,09	3,31	0,03	4,16	0,03	4,00	0,03	3,36	0,03	2,66	0,03	3,90	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	3,42	0,03	3,83	0,03	3,11	0,03	2,76	0,03	4,19	0,03	3,72	0,03	3,72	0,03	5,13	0,03	5,17	0,03	3,30	0,03	4,78	0,03	5,78	0,03	4,83	0,03	3,28	0,03	4,17
3,70	4,09	3,31	0,05	4,16	0,05	4,00	0,05	3,36	0,05	2,65	0,05	3,90	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	3,42	0,05	3,83	0,05	3,11	0,05	2,76	0,05	4,19	0,05	3,72	0,05	3,72	0,05	5,13	0,05	5,17	0,05	3,30	0,05	4,78	0,05	5,78	0,05	4,82	0,05	3,28	0,05	4,17
3,70	4,09	3,31	0,07	4,16	0,07	4,00	0,07	3,36	0,07	2,65	0,07	3,90	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	3,42	0,07	3,83	0,07	3,11	0,07	2,76	0,07	4,19	0,07	3,72	0,07	3,72	0,07	5,12	0,07	5,17	0,07	3,29	0,07	4,78	0,07	5,78	0,07	4,82	0,07	3,28	0,07	4,17
3,70	4,09	3,31	0,08	4,15	0,08	4,00	0,08	3,36	0,08	2,65	0,08	3,90	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	3,42	0,08	3,82	0,08	3,11	0,08	2,76	0,08	4,19	0,08	3,72	0,08	3,71	0,08	5,11	0,08	5,16	0,08	3,29	0,08	4,77	0,08	5,77	0,08	4,82	0,08	3,28	0,08	4,17
3,69	4,09	3,30	0,10	4,15	0,10	4,00	0,10	3,35	0,10	2,65	0,10	3,90	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	3,41	0,10	3,80	0,10	3,11	0,10	2,76	0,10	4,19	0,10	3,72	0,10	3,71	0,10	5,11	0,10	5,15	0,10	3,29	0,10	4,77	0,10	5,77	0,10	4,82	0,10	3,27	0,10	4,16
3,69	4,09	3,30	0,12	4,15	0,12	4,00	0,12	3,35	0,12	2,65	0,12	3,90	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	3,41	0,12	3,79	0,12	3,11	0,12	2,75	0,12	4,19	0,12	3,72	0,12	3,70	0,12	5,10	0,12	5,13	0,12	3,29	0,12	4,77	0,12	5,76	0,12	4,82	0,12	3,27	0,12	4,16
3,69	4,08	3,30	0,13	4,15	0,13	3,99	0,13	3,35	0,13	2,65	0,13	3,89	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	3,41	0,13	3,77	0,13	3,11	0,13	2,75	0,13	4,19	0,13	3,72	0,13	3,70	0,13	5,10	0,13	5,12	0,13	3,28	0,13	4,77	0,13	5,75	0,13	4,81	0,13	3,27	0,13	4,16
3,69	4,08	3,30	0,15	4,14	0,15	3,99	0,15	3,35	0,15	2,65	0,15	3,89	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	3,40	0,15	3,76	0,15	3,11	0,15	2,75	0,15	4,19	0,15	3,72	0,15	3,69	0,15	5,09	0,15	5,10	0,15	3,28	0,15	4,77	0,15	5,75	0,15	4,81	0,15	3,26	0,15	4,15
