Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
12,74	17,86	7,62	0,00	13,94	0,00	10,23	0,00	8,31	0,00	17,16	0,00	15,80	0,00	15,36	0,00	9,13	0,00	9,73	0,00	14,16	0,00	-999,0	0,00	-999,0	0,00	5,42	0,00	7,35	0,00	9,62	0,00	6,62	0,00	9,87	0,00	8,02	0,00	12,15	0,00	9,05	0,00	8,54	0,00	9,81	0,00	13,72	0,00	13,94	0,00	13,36	0,00	16,20	0,00	13,50	0,00	12,93	0,00	13,20	0,00	17,57	0,00	18,78	0,00	19,03
12,74	17,86	7,62	0,02	13,94	0,02	10,23	0,02	8,31	0,02	17,16	0,02	15,80	0,02	15,36	0,02	9,13	0,02	9,73	0,02	14,16	0,02	-999,0	0,02	-999,0	0,02	5,42	0,02	7,35	0,02	9,61	0,02	6,62	0,02	9,87	0,02	8,02	0,02	12,15	0,02	9,05	0,02	8,54	0,02	9,80	0,02	13,72	0,02	13,94	0,02	13,36	0,02	16,20	0,02	13,50	0,02	12,93	0,02	13,20	0,02	17,57	0,02	18,78	0,02	19,03
12,74	17,85	7,62	0,03	13,94	0,03	10,23	0,03	8,31	0,03	17,15	0,03	15,78	0,03	15,35	0,03	9,13	0,03	9,73	0,03	14,16	0,03	-999,0	0,03	-999,0	0,03	5,42	0,03	7,35	0,03	9,61	0,03	6,62	0,03	9,87	0,03	8,02	0,03	12,15	0,03	9,04	0,03	8,54	0,03	9,80	0,03	13,71	0,03	13,95	0,03	13,36	0,03	16,19	0,03	13,49	0,03	12,93	0,03	13,20	0,03	17,57	0,03	18,78	0,03	19,02
12,73	17,84	7,62	0,05	13,93	0,05	10,22	0,05	8,30	0,05	17,15	0,05	15,75	0,05	15,35	0,05	9,14	0,05	9,72	0,05	14,16	0,05	-999,0	0,05	-999,0	0,05	5,42	0,05	7,35	0,05	9,61	0,05	6,62	0,05	9,86	0,05	8,02	0,05	12,14	0,05	9,04	0,05	8,53	0,05	9,80	0,05	13,70	0,05	13,95	0,05	13,35	0,05	16,19	0,05	13,49	0,05	12,92	0,05	13,20	0,05	17,55	0,05	18,75	0,05	19,02
12,72	17,82	7,61	0,07	13,93	0,07	10,22	0,07	8,30	0,07	17,14	0,07	15,73	0,07	15,33	0,07	9,14	0,07	9,72	0,07	14,15	0,07	-999,0	0,07	-999,0	0,07	5,42	0,07	7,34	0,07	9,60	0,07	6,61	0,07	9,86	0,07	8,01	0,07	12,13	0,07	9,03	0,07	8,53	0,07	9,79	0,07	13,69	0,07	13,95	0,07	13,35	0,07	16,17	0,07	13,48	0,07	12,91	0,07	13,20	0,07	17,53	0,07	18,72	0,07	19,01
12,71	17,80	7,61	0,08	13,92	0,08	10,21	0,08	8,29	0,08	17,13	0,08	15,70	0,08	15,29	0,08	9,15	0,08	9,71	0,08	14,15	0,08	-999,0	0,08	-999,0	0,08	5,42	0,08	7,34	0,08	9,59	0,08	6,61	0,08	9,85	0,08	8,00	0,08	12,12	0,08	9,02	0,08	8,52	0,08	9,78	0,08	13,67	0,08	13,95	0,08	13,36	0,08	16,16	0,08	13,47	0,08	12,90	0,08	13,19	0,08	17,51	0,08	18,68	0,08	19,01
12,70	17,79	7,61	0,10	13,92	0,10	10,21	0,10	8,29	0,10	17,09	0,10	15,68	0,10	15,25	0,10	9,15	0,10	9,70	0,10	14,14	0,10	-999,0	0,10	-999,0	0,10	5,42	0,10	7,34	0,10	9,58	0,10	6,60	0,10	9,85	0,10	7,99	0,10	12,10	0,10	9,01	0,10	8,51	0,10	9,78	0,10	13,67	0,10	13,94	0,10	13,35	0,10	16,15	0,10	13,45	0,10	12,89	0,10	13,19	0,10	17,49	0,10	18,65	0,10	19,00
12,68	17,76	7,60	0,12	13,91	0,12	10,20	0,12	8,28	0,12	17,06	0,12	15,65	0,12	15,21	0,12	9,15	0,12	9,68	0,12	14,13	0,12	-999,0	0,12	-999,0	0,12	5,42	0,12	7,33	0,12	9,57	0,12	6,60	0,12	9,84	0,12	7,98	0,12	12,09	0,12	9,00	0,12	8,50	0,12	9,76	0,12	13,67	0,12	13,93	0,12	13,35	0,12	16,13	0,12	13,44	0,12	12,87	0,12	13,19	0,12	17,47	0,12	18,61	0,12	18,99
12,66	17,72	7,60	0,13	13,90	0,13	10,19	0,13	8,27	0,13	17,02	0,13	15,60	0,13	15,17	0,13	9,16	0,13	9,66	0,13	14,12	0,13	-999,0	0,13	-999,0	0,13	5,42	0,13	7,33	0,13	9,55	0,13	6,59	0,13	9,83	0,13	7,97	0,13	12,07	0,13	8,98	0,13	8,49	0,13	9,75	0,13	13,67	0,13	13,92	0,13	13,34	0,13	16,12	0,13	13,42	0,13	12,86	0,13	13,18	0,13	17,44	0,13	18,57	0,13	18,94
12,64	17,68	7,59	0,15	13,88	0,15	10,18	0,15	8,26	0,15	16,98	0,15	15,56	0,15	15,13	0,15	9,16	0,15	9,65	0,15	14,11	0,15	-999,0	0,15	-999,0	0,15	5,41	0,15	7,32	0,15	9,54	0,15	6,58	0,15	9,81	0,15	7,96	0,15	12,04	0,15	8,97	0,15	8,47	0,15	9,74	0,15	13,66	0,15	13,91	0,15	13,33	0,15	16,12	0,15	13,40	0,15	12,84	0,15	13,18	0,15	17,42	0,15	18,53	0,15	18,89
