Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
4,67	6,31	3,03	0,00	5,59	0,00	4,40	0,00	2,70	0,00	6,17	0,00	3,74	0,00	17,66	0,00	6,87	0,00	4,51	0,00	13,42	0,00	3,46	0,00	6,18	0,00	3,10	0,00	4,33	0,00	5,17	0,00	3,65	0,00	4,63	0,00	-999,0	0,00	6,32	0,00	3,53	0,00	4,15	0,00	6,73	0,00	10,26	0,00	6,55	0,00	9,81	0,00	12,05	0,00	5,37	0,00	8,00	0,00	12,06	0,00	10,42	0,00	7,26	0,00	-999,0
4,67	6,31	3,03	0,02	5,59	0,02	4,40	0,02	2,70	0,02	6,17	0,02	3,74	0,02	17,66	0,02	6,89	0,02	4,51	0,02	13,42	0,02	3,46	0,02	6,18	0,02	3,10	0,02	4,33	0,02	5,17	0,02	3,65	0,02	4,63	0,02	-999,0	0,02	6,32	0,02	3,53	0,02	4,15	0,02	6,73	0,02	10,26	0,02	6,55	0,02	9,81	0,02	12,05	0,02	5,37	0,02	7,99	0,02	12,06	0,02	10,42	0,02	7,26	0,02	-999,0
4,67	6,31	3,03	0,03	5,59	0,03	4,40	0,03	2,70	0,03	6,17	0,03	3,74	0,03	17,65	0,03	6,92	0,03	4,51	0,03	13,42	0,03	3,46	0,03	6,18	0,03	3,10	0,03	4,33	0,03	5,17	0,03	3,65	0,03	4,63	0,03	-999,0	0,03	6,33	0,03	3,53	0,03	4,15	0,03	6,73	0,03	10,26	0,03	6,55	0,03	9,81	0,03	12,04	0,03	5,37	0,03	7,99	0,03	12,05	0,03	10,42	0,03	7,26	0,03	-999,0
4,67	6,31	3,03	0,05	5,59	0,05	4,40	0,05	2,70	0,05	6,17	0,05	3,74	0,05	17,64	0,05	6,95	0,05	4,51	0,05	13,41	0,05	3,46	0,05	6,18	0,05	3,10	0,05	4,33	0,05	5,18	0,05	3,65	0,05	4,63	0,05	-999,0	0,05	6,33	0,05	3,53	0,05	4,14	0,05	6,71	0,05	10,26	0,05	6,55	0,05	9,78	0,05	11,99	0,05	5,36	0,05	7,99	0,05	12,05	0,05	10,42	0,05	7,25	0,05	-999,0
4,67	6,31	3,03	0,07	5,59	0,07	4,40	0,07	2,70	0,07	6,17	0,07	3,74	0,07	17,63	0,07	6,99	0,07	4,52	0,07	13,41	0,07	3,47	0,07	6,19	0,07	3,10	0,07	4,32	0,07	5,18	0,07	3,65	0,07	4,63	0,07	-999,0	0,07	6,33	0,07	3,52	0,07	4,13	0,07	6,70	0,07	10,25	0,07	6,55	0,07	9,75	0,07	11,93	0,07	5,36	0,07	7,99	0,07	12,05	0,07	10,42	0,07	7,25	0,07	-999,0
4,67	6,30	3,03	0,08	5,58	0,08	4,40	0,08	2,70	0,08	6,17	0,08	3,73	0,08	17,64	0,08	7,02	0,08	4,53	0,08	13,40	0,08	3,47	0,08	6,19	0,08	3,10	0,08	4,32	0,08	5,18	0,08	3,65	0,08	4,62	0,08	-999,0	0,08	6,33	0,08	3,52	0,08	4,12	0,08	6,68	0,08	10,25	0,08	6,55	0,08	9,72	0,08	11,87	0,08	5,36	0,08	7,98	0,08	12,04	0,08	10,42	0,08	7,24	0,08	-999,0
4,67	6,29	3,04	0,10	5,58	0,10	4,41	0,10	2,70	0,10	6,17	0,10	3,73	0,10	17,64	0,10	7,06	0,10	4,54	0,10	13,39	0,10	3,47	0,10	6,20	0,10	3,10	0,10	4,32	0,10	5,18	0,10	3,65	0,10	4,62	0,10	-999,0	0,10	6,33	0,10	3,52	0,10	4,12	0,10	6,67	0,10	10,23	0,10	6,54	0,10	9,68	0,10	11,81	0,10	5,35	0,10	7,97	0,10	12,03	0,10	10,42	0,10	7,23	0,10	-999,0
4,66	6,29	3,04	0,12	5,57	0,12	4,41	0,12	2,70	0,12	6,17	0,12	3,72	0,12	17,64	0,12	7,10	0,12	4,55	0,12	13,38	0,12	3,48	0,12	6,21	0,12	3,10	0,12	4,32	0,12	5,18	0,12	3,65	0,12	4,62	0,12	-999,0	0,12	6,33	0,12	3,52	0,12	4,10	0,12	6,66	0,12	10,20	0,12	6,52	0,12	9,65	0,12	11,75	0,12	5,33	0,12	7,96	0,12	12,02	0,12	10,41	0,12	7,22	0,12	-999,0
4,66	6,28	3,03	0,13	5,57	0,13	4,41	0,13	2,69	0,13	6,17	0,13	3,72	0,13	17,64	0,13	7,14	0,13	4,56	0,13	13,39	0,13	3,48	0,13	6,22	0,13	3,10	0,13	4,32	0,13	5,19	0,13	3,65	0,13	4,62	0,13	-999,0	0,13	6,33	0,13	3,51	0,13	4,09	0,13	6,64	0,13	10,18	0,13	6,49	0,13	9,61	0,13	11,68	0,13	5,30	0,13	7,95	0,13	12,01	0,13	10,41	0,13	7,21	0,13	-999,0
4,65	6,28	3,03	0,15	5,56	0,15	4,41	0,15	2,69	0,15	6,16	0,15	3,73	0,15	17,64	0,15	7,17	0,15	4,56	0,15	13,40	0,15	3,49	0,15	6,22	0,15	3,10	0,15	4,32	0,15	5,20	0,15	3,65	0,15	4,62	0,15	-999,0	0,15	6,34	0,15	3,51	0,15	4,08	0,15	6,62	0,15	10,15	0,15	6,46	0,15	9,57	0,15	11,62	0,15	5,28	0,15	7,94	0,15	12,00	0,15	10,41	0,15	7,20	0,15	-999,0
4,65	6,27	3,04	0,17	5,56	0,17	4,42	0,17	2,69	0,17	6,16	0,17	3,74	0,17	17,64	0,17	7,22	0,17	4,57	0,17	13,42	0,17	3,49	0,17	6,23	0,17	3,10	0,17	4,32	0,17	5,21	0,17	3,65	0,17	4,61	0,17	-999,0	0,17	6,34	0,17	3,50	0,17	4,07	0,17	6,61	0,17	10,12	0,17	6,43	0,17	9,53	0,17	11,55	0,17	5,25	0,17	7,93	0,17	11,98	0,17	10,41	0,17	7,18	0,17	-999,0
4,65	6,26	3,04	0,18	5,55	0,18	4,42	0,18	2,69	0,18	6,16	0,18	3,76	0,18	17,63	0,18	7,26	0,18	4,60	0,18	13,43	0,18	3,50	0,18	6,24	0,18	3,10	0,18	4,32	0,18	5,22	0,18	3,65	0,18	4,61	0,18	-999,0	0,18	6,34	0,18	3,50	0,18	4,06	0,18	6,59	0,18	10,05	0,18	6,38	0,18	9,49	0,18	11,48	0,18	5,23	0,18	7,88	0,18	11,96	0,18	10,40	0,18	7,17	0,18	-999,0
4,64	6,24	3,04	0,20	5,54	0,20	4,42	0,20	2,68	0,20	6,16	0,20	3,77	0,20	17,62	0,20	7,30	0,20	4,62	0,20	13,43	0,20	3,51	0,20	6,24	0,20	3,10	0,20	4,31	0,20	5,23	0,20	3,65	0,20	4,61	0,20	-999,0	0,20	6,33	0,20	3,49	0,20	4,05	0,20	6,57	0,20	9,99	0,20	6,34	0,20	9,45	0,20	11,40	0,20	5,20	0,20	7,84	0,20	11,94	0,20	10,40	0,20	7,15	0,20	-999,0
4,64	6,24	3,04	0,22	5,54	0,22	4,43	0,22	2,68	0,22	6,17	0,22	3,79	0,22	17,61	0,22	7,34	0,22	4,64	0,22	13,44	0,22	3,52	0,22	6,24	0,22	3,09	0,22	4,31	0,22	5,24	0,22	3,65	0,22	4,60	0,22	-999,0	0,22	6,32	0,22	3,48	0,22	4,04	0,22	6,56	0,22	9,92	0,22	6,29	0,22	9,41	0,22	11,33	0,22	5,17	0,22	7,79	0,22	11,91	0,22	10,40	0,22	7,14	0,22	-999,0
4,63	6,23	3,04	0,23	5,53	0,23	4,43	0,23	2,68	0,23	6,18	0,23	3,80	0,23	17,59	0,23	7,39	0,23	4,66	0,23	13,45	0,23	3,54	0,23	6,25	0,23	3,09	0,23	4,31	0,23	5,25	0,23	3,65	0,23	4,60	0,23	-999,0	0,23	6,31	0,23	3,47	0,23	4,02	0,23	6,54	0,23	9,85	0,23	6,25	0,23	9,36	0,23	11,25	0,23	5,14	0,23	7,74	0,23	11,89	0,23	10,39	0,23	7,12	0,23	-999,0
4,63	6,22	3,04	0,25	5,52	0,25	4,44	0,25	2,67	0,25	6,20	0,25	3,82	0,25	17,57	0,25	7,45	0,25	4,68	0,25	13,46	0,25	3,55	0,25	6,25	0,25	3,09	0,25	4,30	0,25	5,27	0,25	3,65	0,25	4,60	0,25	-999,0	0,25	6,30	0,25	3,47	0,25	4,01	0,25	6,49	0,25	9,78	0,25	6,20	0,25	9,29	0,25	11,17	0,25	5,11	0,25	7,69	0,25	11,85	0,25	10,39	0,25	7,10	0,25	-999,0
4,62	6,21	3,04	0,27	5,51	0,27	4,44	0,27	2,67	0,27	6,22	0,27	3,83	0,27	17,55	0,27	7,50	0,27	4,69	0,27	13,47	0,27	3,57	0,27	6,26	0,27	3,08	0,27	4,30	0,27	5,28	0,27	3,65	0,27	4,59	0,27	-999,0	0,27	6,28	0,27	3,46	0,27	4,00	0,27	6,44	0,27	9,71	0,27	6,16	0,27	9,22	0,27	11,09	0,27	5,08	0,27	7,64	0,27	11,78	0,27	10,39	0,27	7,09	0,27	-999,0
4,62	6,20	3,04	0,28	5,50	0,28	4,44	0,28	2,67	0,28	6,25	0,28	3,84	0,28	17,52	0,28	7,56	0,28	4,71	0,28	13,48	0,28	3,58	0,28	6,27	0,28	3,08	0,28	4,30	0,28	5,30	0,28	3,66	0,28	4,59	0,28	-999,0	0,28	6,27	0,28	3,45	0,28	3,99	0,28	6,39	0,28	9,64	0,28	6,11	0,28	9,15	0,28	11,01	0,28	5,05	0,28	7,59	0,28	11,71	0,28	10,38	0,28	7,07	0,28	-999,0
4,62	6,18	3,05	0,30	5,49	0,30	4,45	0,30	2,67	0,30	6,27	0,30	3,85	0,30	17,49	0,30	7,62	0,30	4,73	0,30	13,48	0,30	3,59	0,30	6,29	0,30	3,08	0,30	4,29	0,30	5,31	0,30	3,66	0,30	4,59	0,30	-999,0	0,30	6,26	0,30	3,44	0,30	3,97	0,30	6,34	0,30	9,57	0,30	6,06	0,30	9,08	0,30	10,92	0,30	5,02	0,30	7,54	0,30	11,63	0,30	10,38	0,30	7,05	0,30	-999,0
4,61	6,16	3,05	0,32	5,48	0,32	4,45	0,32	2,67	0,32	6,29	0,32	3,86	0,32	17,42	0,32	7,68	0,32	4,74	0,32	13,48	0,32	3,61	0,32	6,30	0,32	3,07	0,32	4,29	0,32	5,33	0,32	3,66	0,32	4,59	0,32	-999,0	0,32	6,25	0,32	3,43	0,32	3,95	0,32	6,29	0,32	9,50	0,32	6,01	0,32	9,01	0,32	10,82	0,32	4,99	0,32	7,48	0,32	11,55	0,32	10,37	0,32	7,02	0,32	-999,0
4,60	6,15	3,05	0,33	5,47	0,33	4,46	0,33	2,67	0,33	6,31	0,33	3,87	0,33	17,35	0,33	7,74	0,33	4,75	0,33	13,48	0,33	3,62	0,33	6,31	0,33	3,07	0,33	4,28	0,33	5,35	0,33	3,66	0,33	4,57	0,33	-999,0	0,33	6,24	0,33	3,42	0,33	3,92	0,33	6,24	0,33	9,42	0,33	5,96	0,33	8,93	0,33	10,71	0,33	4,96	0,33	7,43	0,33	11,47	0,33	10,32	0,33	7,00	0,33	-999,0
4,60	6,14	3,06	0,35	5,46	0,35	4,47	0,35	2,67	0,35	6,33	0,35	3,88	0,35	17,28	0,35	7,80	0,35	4,77	0,35	13,47	0,35	3,64	0,35	6,32	0,35	3,07	0,35	4,28	0,35	5,37	0,35	3,66	0,35	4,56	0,35	-999,0	0,35	6,23	0,35	3,41	0,35	3,90	0,35	6,18	0,35	9,35	0,35	5,91	0,35	8,86	0,35	10,60	0,35	4,92	0,35	7,37	0,35	11,39	0,35	10,27	0,35	6,97	0,35	-999,0
4,59	6,12	3,07	0,37	5,45	0,37	4,48	0,37	2,68	0,37	6,35	0,37	3,89	0,37	17,20	0,37	7,86	0,37	4,78	0,37	13,46	0,37	3,65	0,37	6,33	0,37	3,08	0,37	4,27	0,37	5,38	0,37	3,67	0,37	4,55	0,37	-999,0	0,37	6,21	0,37	3,40	0,37	3,87	0,37	6,13	0,37	9,27	0,37	5,86	0,37	8,78	0,37	10,49	0,37	4,89	0,37	7,32	0,37	11,30	0,37	10,23	0,37	6,95	0,37	-999,0
4,59	6,11	3,08	0,38	5,43	0,38	4,50	0,38	2,68	0,38	6,38	0,38	3,90	0,38	17,12	0,38	7,93	0,38	4,79	0,38	13,45	0,38	3,66	0,38	6,34	0,38	3,08	0,38	4,27	0,38	5,40	0,38	3,67	0,38	4,53	0,38	-999,0	0,38	6,20	0,38	3,39	0,38	3,84	0,38	6,08	0,38	9,20	0,38	5,81	0,38	8,71	0,38	10,37	0,38	4,85	0,38	7,26	0,38	11,22	0,38	10,18	0,38	6,92	0,38	-999,0
4,58	6,08	3,09	0,40	5,42	0,40	4,53	0,40	2,68	0,40	6,40	0,40	3,92	0,40	17,04	0,40	8,00	0,40	4,80	0,40	13,44	0,40	3,68	0,40	6,35	0,40	3,09	0,40	4,26	0,40	5,42	0,40	3,66	0,40	4,52	0,40	-999,0	0,40	6,19	0,40	3,38	0,40	3,82	0,40	6,03	0,40	9,12	0,40	5,76	0,40	8,63	0,40	10,26	0,40	4,81	0,40	7,20	0,40	11,13	0,40	10,13	0,40	6,86	0,40	-999,0
4,58	6,05	3,10	0,42	5,43	0,42	4,55	0,42	2,68	0,42	6,42	0,42	3,93	0,42	16,96	0,42	8,07	0,42	4,81	0,42	13,43	0,42	3,69	0,42	6,36	0,42	3,09	0,42	4,27	0,42	5,44	0,42	3,66	0,42	4,51	0,42	-999,0	0,42	6,18	0,42	3,36	0,42	3,79	0,42	5,97	0,42	9,04	0,42	5,71	0,42	8,55	0,42	10,14	0,42	4,76	0,42	7,14	0,42	11,05	0,42	10,08	0,42	6,81	0,42	-999,0
4,57	6,02	3,12	0,43	5,43	0,43	4,58	0,43	2,68	0,43	6,44	0,43	3,94	0,43	16,87	0,43	8,14	0,43	4,82	0,43	13,41	0,43	3,70	0,43	6,37	0,43	3,09	0,43	4,27	0,43	5,46	0,43	3,65	0,43	4,49	0,43	-999,0	0,43	6,17	0,43	3,34	0,43	3,76	0,43	5,92	0,43	8,96	0,43	5,65	0,43	8,47	0,43	10,03	0,43	4,72	0,43	7,08	0,43	10,96	0,43	10,03	0,43	6,75	0,43	-999,0
4,57	6,00	3,13	0,45	5,45	0,45	4,60	0,45	2,68	0,45	6,46	0,45	3,95	0,45	16,79	0,45	8,21	0,45	4,83	0,45	13,39	0,45	3,72	0,45	6,38	0,45	3,10	0,45	4,28	0,45	5,48	0,45	3,64	0,45	4,48	0,45	-999,0	0,45	6,16	0,45	3,33	0,45	3,73	0,45	5,86	0,45	8,88	0,45	5,60	0,45	8,39	0,45	9,91	0,45	4,68	0,45	7,02	0,45	10,87	0,45	9,98	0,45	6,70	0,45	-999,0
4,56	5,97	3,15	0,47	5,46	0,47	4,63	0,47	2,68	0,47	6,48	0,47	3,97	0,47	16,72	0,47	8,27	0,47	4,84	0,47	13,37	0,47	3,73	0,47	6,38	0,47	3,10	0,47	4,28	0,47	5,48	0,47	3,63	0,47	4,46	0,47	-999,0	0,47	6,12	0,47	3,31	0,47	3,70	0,47	5,81	0,47	8,80	0,47	5,54	0,47	8,31	0,47	9,79	0,47	4,63	0,47	6,94	0,47	10,78	0,47	9,92	0,47	6,65	0,47	-999,0
4,55	5,94	3,16	0,48	5,48	0,48	4,65	0,48	2,68	0,48	6,50	0,48	3,97	0,48	16,64	0,48	8,34	0,48	4,84	0,48	13,35	0,48	3,75	0,48	6,39	0,48	3,10	0,48	4,29	0,48	5,50	0,48	3,63	0,48	4,45	0,48	-999,0	0,48	6,08	0,48	3,29	0,48	3,67	0,48	5,75	0,48	8,72	0,48	5,49	0,48	8,23	0,48	9,67	0,48	4,59	0,48	6,86	0,48	10,69	0,48	9,89	0,48	6,59	0,48	-999,0
5,48	7,71	3,25	0,50	5,49	0,50	4,68	0,50	2,69	0,50	6,53	0,50	3,98	0,50	16,56	0,50	8,41	0,50	4,85	0,50	13,32	0,50	3,76	0,50	6,39	0,50	3,10	0,50	4,29	0,50	5,52	0,50	3,62	0,50	4,44	0,50	5,53	0,50	6,05	0,50	3,27	0,50	3,64	0,50	5,70	0,50	8,64	0,50	5,43	0,50	8,15	0,50	9,55	0,50	4,55	0,50	6,78	0,50	10,60	0,50	9,85	0,50	6,53	0,50	9,21
