Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
8,54	13,08	4,00	0,00	-999,0	0,00	5,19	0,00	4,33	0,00	7,45	0,00	11,09	0,00	3,33	0,00	11,08	0,00	12,33	0,00	10,47	0,00	6,48	0,00	11,20	0,00	3,94	0,00	5,42	0,00	8,13	0,00	5,89	0,00	10,01	0,00	8,94	0,00	10,65	0,00	7,33	0,00	6,99	0,00	13,01	0,00	13,24	0,00	12,44	0,00	14,31	0,00	13,82	0,00	13,61	0,00	16,76	0,00	14,23	0,00	17,62	0,00	11,97	0,00	15,79
8,54	13,08	4,00	0,02	-999,0	0,02	5,19	0,02	4,33	0,02	7,45	0,02	11,09	0,02	3,33	0,02	11,08	0,02	12,33	0,02	10,47	0,02	6,48	0,02	11,20	0,02	3,94	0,02	5,42	0,02	8,13	0,02	5,89	0,02	10,01	0,02	8,94	0,02	10,65	0,02	7,33	0,02	6,99	0,02	13,01	0,02	13,24	0,02	12,44	0,02	14,31	0,02	13,82	0,02	13,61	0,02	16,76	0,02	14,26	0,02	17,62	0,02	11,97	0,02	15,79
8,54	13,08	4,00	0,03	-999,0	0,03	5,19	0,03	4,33	0,03	7,45	0,03	11,09	0,03	3,33	0,03	11,08	0,03	12,33	0,03	10,46	0,03	6,48	0,03	11,19	0,03	3,94	0,03	5,42	0,03	8,13	0,03	5,89	0,03	10,01	0,03	8,94	0,03	10,65	0,03	7,33	0,03	6,99	0,03	13,01	0,03	13,24	0,03	12,44	0,03	14,31	0,03	13,82	0,03	13,61	0,03	16,75	0,03	14,28	0,03	17,61	0,03	11,98	0,03	15,79
8,55	13,09	4,01	0,05	-999,0	0,05	5,20	0,05	4,33	0,05	7,45	0,05	11,09	0,05	3,33	0,05	11,07	0,05	12,32	0,05	10,46	0,05	6,47	0,05	11,19	0,05	3,94	0,05	5,42	0,05	8,13	0,05	5,89	0,05	10,00	0,05	8,93	0,05	10,65	0,05	7,33	0,05	6,99	0,05	13,01	0,05	13,24	0,05	12,44	0,05	14,29	0,05	13,81	0,05	13,57	0,05	16,72	0,05	14,30	0,05	17,61	0,05	11,99	0,05	15,79
8,55	13,10	4,00	0,07	-999,0	0,07	5,20	0,07	4,33	0,07	7,45	0,07	11,09	0,07	3,33	0,07	11,06	0,07	12,32	0,07	10,45	0,07	6,47	0,07	11,18	0,07	3,94	0,07	5,41	0,07	8,12	0,07	5,89	0,07	10,00	0,07	8,93	0,07	10,65	0,07	7,32	0,07	6,98	0,07	13,00	0,07	13,23	0,07	12,43	0,07	14,28	0,07	13,80	0,07	13,54	0,07	16,69	0,07	14,32	0,07	17,60	0,07	12,00	0,07	15,81
8,56	13,12	4,00	0,08	-999,0	0,08	5,21	0,08	4,33	0,08	7,44	0,08	11,08	0,08	3,33	0,08	11,05	0,08	12,31	0,08	10,44	0,08	6,47	0,08	11,17	0,08	3,94	0,08	5,41	0,08	8,12	0,08	5,88	0,08	10,00	0,08	8,92	0,08	10,65	0,08	7,32	0,08	6,98	0,08	12,99	0,08	13,23	0,08	12,42	0,08	14,26	0,08	13,79	0,08	13,50	0,08	16,65	0,08	14,34	0,08	17,60	0,08	12,01	0,08	15,84
8,57	13,14	4,00	0,10	-999,0	0,10	5,21	0,10	4,33	0,10	7,44	0,10	11,08	0,10	3,33	0,10	11,04	0,10	12,31	0,10	10,43	0,10	6,46	0,10	11,15	0,10	3,93	0,10	5,40	0,10	8,11	0,10	5,88	0,10	10,00	0,10	8,91	0,10	10,66	0,10	7,32	0,10	6,98	0,10	12,98	0,10	13,22	0,10	12,40	0,10	14,24	0,10	13,76	0,10	13,46	0,10	16,59	0,10	14,37	0,10	17,62	0,10	12,03	0,10	15,86
8,57	13,15	4,00	0,12	-999,0	0,12	5,22	0,12	4,33	0,12	7,44	0,12	11,08	0,12	3,33	0,12	11,03	0,12	12,30	0,12	10,42	0,12	6,46	0,12	11,14	0,12	3,93	0,12	5,40	0,12	8,11	0,12	5,88	0,12	9,99	0,12	8,89	0,12	10,66	0,12	7,31	0,12	6,97	0,12	12,97	0,12	13,22	0,12	12,39	0,12	14,21	0,12	13,72	0,12	13,42	0,12	16,53	0,12	14,40	0,12	17,64	0,12	12,04	0,12	15,88
8,58	13,17	3,99	0,13	-999,0	0,13	5,22	0,13	4,33	0,13	7,43	0,13	11,07	0,13	3,33	0,13	11,01	0,13	12,29	0,13	10,41	0,13	6,45	0,13	11,12	0,13	3,93	0,13	5,39	0,13	8,10	0,13	5,88	0,13	9,99	0,13	8,88	0,13	10,66	0,13	7,31	0,13	6,96	0,13	12,96	0,13	13,21	0,13	12,37	0,13	14,18	0,13	13,67	0,13	13,38	0,13	16,47	0,13	14,43	0,13	17,65	0,13	12,06	0,13	15,90
8,59	13,18	3,99	0,15	-999,0	0,15	5,23	0,15	4,33	0,15	7,43	0,15	11,06	0,15	3,33	0,15	10,99	0,15	12,28	0,15	10,39	0,15	6,45	0,15	11,10	0,15	3,93	0,15	5,38	0,15	8,09	0,15	5,87	0,15	9,98	0,15	8,86	0,15	10,66	0,15	7,30	0,15	6,96	0,15	12,95	0,15	13,19	0,15	12,36	0,15	14,15	0,15	13,62	0,15	13,33	0,15	16,40	0,15	14,46	0,15	17,67	0,15	12,07	0,15	15,92
