Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,35	10,33	4,37	0,00	11,56	0,00	7,44	0,00	3,40	0,00	10,14	0,00	5,72	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	14,54	0,00	3,90	0,00	8,32	0,00	2,97	0,00	4,78	0,00	7,41	0,00	4,12	0,00	6,21	0,00	6,57	0,00	7,74	0,00	4,15	0,00	5,33	0,00	7,89	0,00	10,74	0,00	6,92	0,00	9,76	0,00	11,89	0,00	6,43	0,00	9,02	0,00	13,33	0,00	13,61	0,00	9,68	0,00	11,44
7,35	10,33	4,37	0,02	11,55	0,02	7,44	0,02	3,40	0,02	10,14	0,02	5,72	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	14,54	0,02	3,90	0,02	8,32	0,02	2,97	0,02	4,78	0,02	7,41	0,02	4,12	0,02	6,21	0,02	6,57	0,02	7,74	0,02	4,15	0,02	5,33	0,02	7,89	0,02	10,74	0,02	6,92	0,02	9,76	0,02	11,89	0,02	6,43	0,02	9,02	0,02	13,33	0,02	13,60	0,02	9,68	0,02	11,44
7,35	10,32	4,37	0,03	11,56	0,03	7,44	0,03	3,40	0,03	10,14	0,03	5,72	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	14,54	0,03	3,90	0,03	8,32	0,03	2,97	0,03	4,78	0,03	7,41	0,03	4,12	0,03	6,20	0,03	6,57	0,03	7,73	0,03	4,15	0,03	5,32	0,03	7,89	0,03	10,74	0,03	6,92	0,03	9,76	0,03	11,88	0,03	6,43	0,03	9,03	0,03	13,32	0,03	13,59	0,03	9,68	0,03	11,43
7,34	10,31	4,37	0,05	11,57	0,05	7,44	0,05	3,40	0,05	10,13	0,05	5,72	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	14,54	0,05	3,90	0,05	8,32	0,05	2,97	0,05	4,78	0,05	7,41	0,05	4,12	0,05	6,20	0,05	6,57	0,05	7,72	0,05	4,15	0,05	5,31	0,05	7,89	0,05	10,74	0,05	6,92	0,05	9,76	0,05	11,88	0,05	6,43	0,05	9,05	0,05	13,32	0,05	13,57	0,05	9,67	0,05	11,42
7,34	10,31	4,37	0,07	11,58	0,07	7,44	0,07	3,40	0,07	10,13	0,07	5,73	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	14,54	0,07	3,90	0,07	8,32	0,07	2,96	0,07	4,78	0,07	7,41	0,07	4,12	0,07	6,20	0,07	6,57	0,07	7,71	0,07	4,14	0,07	5,30	0,07	7,89	0,07	10,73	0,07	6,91	0,07	9,76	0,07	11,87	0,07	6,43	0,07	9,06	0,07	13,32	0,07	13,55	0,07	9,67	0,07	11,41
7,34	10,30	4,38	0,08	11,58	0,08	7,45	0,08	3,40	0,08	10,12	0,08	5,73	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	14,54	0,08	3,90	0,08	8,32	0,08	2,96	0,08	4,79	0,08	7,41	0,08	4,12	0,08	6,20	0,08	6,57	0,08	7,70	0,08	4,14	0,08	5,29	0,08	7,88	0,08	10,73	0,08	6,91	0,08	9,76	0,08	11,86	0,08	6,42	0,08	9,07	0,08	13,30	0,08	13,53	0,08	9,66	0,08	11,39
7,33	10,28	4,38	0,10	11,58	0,10	7,45	0,10	3,40	0,10	10,12	0,10	5,74	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	14,54	0,10	3,90	0,10	8,33	0,10	2,96	0,10	4,79	0,10	7,41	0,10	4,12	0,10	6,20	0,10	6,56	0,10	7,69	0,10	4,13	0,10	5,29	0,10	7,86	0,10	10,72	0,10	6,91	0,10	9,75	0,10	11,85	0,10	6,43	0,10	9,08	0,10	13,28	0,10	13,52	0,10	9,64	0,10	11,37
7,32	10,26	4,38	0,12	11,58	0,12	7,45	0,12	3,40	0,12	10,11	0,12	5,75	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	14,53	0,12	3,90	0,12	8,33	0,12	2,96	0,12	4,79	0,12	7,41	0,12	4,12	0,12	6,19	0,12	6,55	0,12	7,68	0,12	4,13	0,12	5,28	0,12	7,85	0,12	10,71	0,12	6,91	0,12	9,75	0,12	11,83	0,12	6,44	0,12	9,09	0,12	13,26	0,12	13,50	0,12	9,61	0,12	11,35
7,31	10,24	4,38	0,13	11,58	0,13	7,45	0,13	3,40	0,13	10,12	0,13	5,75	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	14,53	0,13	3,89	0,13	8,34	0,13	2,96	0,13	4,79	0,13	7,42	0,13	4,13	0,13	6,19	0,13	6,53	0,13	7,68	0,13	4,12	0,13	5,26	0,13	7,84	0,13	10,69	0,13	6,90	0,13	9,74	0,13	11,81	0,13	6,44	0,13	9,10	0,13	13,24	0,13	13,48	0,13	9,58	0,13	11,33
7,30	10,22	4,38	0,15	11,58	0,15	7,45	0,15	3,40	0,15	10,13	0,15	5,75	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	14,52	0,15	3,89	0,15	8,34	0,15	2,95	0,15	4,80	0,15	7,43	0,15	4,13	0,15	6,18	0,15	6,52	0,15	7,65	0,15	4,11	0,15	5,25	0,15	7,82	0,15	10,67	0,15	6,90	0,15	9,73	0,15	11,79	0,15	6,45	0,15	9,09	0,15	13,21	0,15	13,48	0,15	9,55	0,15	11,30
