Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
4,47	5,50	3,43	0,00	4,39	0,00	4,20	0,00	3,27	0,00	2,42	0,00	3,18	0,00	18,28	0,00	5,72	0,00	4,33	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	4,56	0,00	3,54	0,00	2,97	0,00	4,08	0,00	4,57	0,00	4,31	0,00	6,30	0,00	5,99	0,00	4,14	0,00	5,43	0,00	6,80	0,00	5,88	0,00	4,28	0,00	6,12
4,46	5,50	3,43	0,02	4,38	0,02	4,20	0,02	3,27	0,02	2,42	0,02	3,18	0,02	18,28	0,02	5,72	0,02	4,33	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	4,56	0,02	3,54	0,02	2,97	0,02	4,08	0,02	4,57	0,02	4,31	0,02	6,30	0,02	5,99	0,02	4,14	0,02	5,43	0,02	6,80	0,02	5,88	0,02	4,27	0,02	6,12
4,46	5,50	3,43	0,03	4,38	0,03	4,20	0,03	3,27	0,03	2,42	0,03	3,18	0,03	18,28	0,03	5,72	0,03	4,32	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	4,56	0,03	3,54	0,03	2,97	0,03	4,08	0,03	4,57	0,03	4,30	0,03	6,30	0,03	5,98	0,03	4,14	0,03	5,43	0,03	6,80	0,03	5,88	0,03	4,27	0,03	6,12
4,46	5,50	3,43	0,05	4,38	0,05	4,20	0,05	3,27	0,05	2,42	0,05	3,18	0,05	18,29	0,05	5,73	0,05	4,32	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	4,56	0,05	3,54	0,05	2,97	0,05	4,08	0,05	4,56	0,05	4,30	0,05	6,29	0,05	5,98	0,05	4,14	0,05	5,43	0,05	6,80	0,05	5,88	0,05	4,27	0,05	6,12
4,46	5,49	3,43	0,07	4,38	0,07	4,20	0,07	3,27	0,07	2,42	0,07	3,18	0,07	18,30	0,07	5,73	0,07	4,32	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	4,54	0,07	3,53	0,07	2,97	0,07	4,07	0,07	4,56	0,07	4,30	0,07	6,29	0,07	5,97	0,07	4,13	0,07	5,43	0,07	6,80	0,07	5,88	0,07	4,27	0,07	6,11
4,46	5,49	3,43	0,08	4,38	0,08	4,20	0,08	3,26	0,08	2,42	0,08	3,17	0,08	18,31	0,08	5,73	0,08	4,32	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	4,52	0,08	3,53	0,08	2,97	0,08	4,07	0,08	4,56	0,08	4,30	0,08	6,28	0,08	5,97	0,08	4,13	0,08	5,43	0,08	6,79	0,08	5,88	0,08	4,27	0,08	6,11
4,46	5,48	3,43	0,10	4,37	0,10	4,20	0,10	3,26	0,10	2,42	0,10	3,17	0,10	18,32	0,10	5,73	0,10	4,32	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	4,50	0,10	3,52	0,10	2,97	0,10	4,07	0,10	4,55	0,10	4,30	0,10	6,27	0,10	5,96	0,10	4,13	0,10	5,43	0,10	6,79	0,10	5,87	0,10	4,26	0,10	6,10
4,45	5,48	3,43	0,12	4,37	0,12	4,20	0,12	3,26	0,12	2,42	0,12	3,17	0,12	18,33	0,12	5,73	0,12	4,31	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	4,49	0,12	3,52	0,12	2,96	0,12	4,06	0,12	4,55	0,12	4,29	0,12	6,27	0,12	5,95	0,12	4,12	0,12	5,43	0,12	6,78	0,12	5,87	0,12	4,26	0,12	6,09
4,45	5,47	3,42	0,13	4,36	0,13	4,19	0,13	3,26	0,13	2,43	0,13	3,17	0,13	18,34	0,13	5,73	0,13	4,31	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	4,48	0,13	3,51	0,13	2,96	0,13	4,06	0,13	4,54	0,13	4,29	0,13	6,25	0,13	5,94	0,13	4,12	0,13	5,43	0,13	6,77	0,13	5,87	0,13	4,25	0,13	6,09
4,44	5,47	3,41	0,15	4,36	0,15	4,19	0,15	3,25	0,15	2,43	0,15	3,16	0,15	18,34	0,15	5,74	0,15	4,30	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	4,47	0,15	3,51	0,15	2,96	0,15	4,06	0,15	4,53	0,15	4,28	0,15	6,24	0,15	5,93	0,15	4,11	0,15	5,43	0,15	6,76	0,15	5,87	0,15	4,24	0,15	6,08
4,44	5,46	3,41	0,17	4,35	0,17	4,19	0,17	3,25	0,17	2,43	0,17	3,16	0,17	18,34	0,17	5,74	0,17	4,30	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	4,46	0,17	3,50	0,17	2,95	0,17	4,04	0,17	4,52	0,17	4,28	0,17	6,23	0,17	5,92	0,17	4,11	0,17	5,43	0,17	6,76	0,17	5,86	0,17	4,23	0,17	6,07
4,43	5,45	3,41	0,18	4,35	0,18	4,19	0,18	3,25	0,18	2,44	0,18	3,16	0,18	18,34	0,18	5,74	0,18	4,30	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	4,45	0,18	3,50	0,18	2,95	0,18	4,03	0,18	4,51	0,18	4,27	0,18	6,21	0,18	5,90	0,18	4,10	0,18	5,43	0,18	6,75	0,18	5,86	0,18	4,23	0,18	6,06
4,42	5,44	3,41	0,20	4,34	0,20	4,19	0,20	3,24	0,20	2,44	0,20	3,15	0,20	18,34	0,20	5,75	0,20	4,29	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	4,44	0,20	3,50	0,20	2,95	0,20	4,02	0,20	4,50	0,20	4,27	0,20	6,19	0,20	5,89	0,20	4,09	0,20	5,42	0,20	6,74	0,20	5,86	0,20	4,22	0,20	6,04
4,42	5,43	3,41	0,22	4,33	0,22	4,19	0,22	3,24	0,22	2,44	0,22	3,15	0,22	18,33	0,22	5,75	0,22	4,29	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	4,43	0,22	3,49	0,22	2,94	0,22	4,00	0,22	4,49	0,22	4,26	0,22	6,17	0,22	5,87	0,22	4,09	0,22	5,42	0,22	6,72	0,22	5,85	0,22	4,21	0,22	6,03
4,41	5,41	3,41	0,23	4,32	0,23	4,19	0,23	3,24	0,23	2,45	0,23	3,14	0,23	18,32	0,23	5,75	0,23	4,30	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	4,42	0,23	3,49	0,23	2,94	0,23	3,99	0,23	4,48	0,23	4,25	0,23	6,15	0,23	5,85	0,23	4,08	0,23	5,42	0,23	6,71	0,23	5,85	0,23	4,20	0,23	6,01
4,40	5,40	3,40	0,25	4,31	0,25	4,19	0,25	3,23	0,25	2,45	0,25	3,13	0,25	18,31	0,25	5,76	0,25	4,30	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	-999,0	0,25	4,41	0,25	3,48	0,25	2,94	0,25	3,98	0,25	4,45	0,25	4,24	0,25	6,12	0,25	5,82	0,25	4,07	0,25	5,41	0,25	6,70	0,25	5,84	0,25	4,19	0,25	6,00
4,40	5,39	3,40	0,27	4,30	0,27	4,19	0,27	3,23	0,27	2,45	0,27	3,13	0,27	18,29	0,27	5,76	0,27	4,30	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	-999,0	0,27	4,39	0,27	3,48	0,27	2,94	0,27	3,96	0,27	4,43	0,27	4,23	0,27	6,09	0,27	5,80	0,27	4,06	0,27	5,41	0,27	6,68	0,27	5,84	0,27	4,18	0,27	5,98
4,38	5,37	3,39	0,28	4,29	0,28	4,18	0,28	3,22	0,28	2,46	0,28	3,12	0,28	18,27	0,28	5,78	0,28	4,30	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	-999,0	0,28	4,37	0,28	3,47	0,28	2,94	0,28	3,95	0,28	4,40	0,28	4,22	0,28	6,07	0,28	5,76	0,28	4,05	0,28	5,41	0,28	6,67	0,28	5,83	0,28	4,16	0,28	5,96
4,37	5,36	3,39	0,30	4,28	0,30	4,18	0,30	3,22	0,30	2,46	0,30	3,11	0,30	18,25	0,30	5,79	0,30	4,30	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	-999,0	0,30	4,35	0,30	3,46	0,30	2,95	0,30	3,93	0,30	4,37	0,30	4,21	0,30	6,04	0,30	5,73	0,30	4,04	0,30	5,40	0,30	6,65	0,30	5,83	0,30	4,15	0,30	5,94
