Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,31	6,88	3,75	0,00	5,74	0,00	5,49	0,00	3,35	0,00	5,04	0,00	3,73	0,00	22,66	0,00	5,85	0,00	4,21	0,00	10,80	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	6,79	0,00	-999,0	0,00	4,33	0,00	5,67	0,00	8,17	0,00	8,09	0,00	4,74	0,00	7,67
5,31	6,88	3,75	0,02	5,74	0,02	5,49	0,02	3,35	0,02	5,04	0,02	3,73	0,02	22,66	0,02	5,85	0,02	4,21	0,02	10,80	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	6,79	0,02	-999,0	0,02	4,33	0,02	5,67	0,02	8,17	0,02	8,09	0,02	4,74	0,02	7,67
5,31	6,87	3,75	0,03	5,74	0,03	5,49	0,03	3,35	0,03	5,05	0,03	3,73	0,03	22,65	0,03	5,85	0,03	4,21	0,03	10,80	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	6,79	0,03	-999,0	0,03	4,33	0,03	5,67	0,03	8,17	0,03	8,09	0,03	4,73	0,03	7,67
5,31	6,87	3,75	0,05	5,73	0,05	5,49	0,05	3,35	0,05	5,06	0,05	3,72	0,05	22,63	0,05	5,85	0,05	4,21	0,05	10,80	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	6,76	0,05	-999,0	0,05	4,33	0,05	5,66	0,05	8,17	0,05	8,09	0,05	4,73	0,05	7,67
5,31	6,87	3,75	0,07	5,73	0,07	5,49	0,07	3,35	0,07	5,07	0,07	3,73	0,07	22,61	0,07	5,86	0,07	4,21	0,07	10,80	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	6,74	0,07	-999,0	0,07	4,33	0,07	5,66	0,07	8,16	0,07	8,09	0,07	4,73	0,07	7,66
5,30	6,86	3,74	0,08	5,73	0,08	5,49	0,08	3,34	0,08	5,08	0,08	3,74	0,08	22,58	0,08	5,86	0,08	4,21	0,08	10,80	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	6,71	0,08	-999,0	0,08	4,33	0,08	5,66	0,08	8,16	0,08	8,09	0,08	4,72	0,08	7,65
5,29	6,85	3,74	0,10	5,73	0,10	5,48	0,10	3,34	0,10	5,09	0,10	3,75	0,10	22,55	0,10	5,87	0,10	4,20	0,10	10,80	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	6,69	0,10	-999,0	0,10	4,32	0,10	5,66	0,10	8,15	0,10	8,09	0,10	4,71	0,10	7,64
5,29	6,84	3,73	0,12	5,72	0,12	5,48	0,12	3,34	0,12	5,10	0,12	3,76	0,12	22,51	0,12	5,88	0,12	4,20	0,12	10,80	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	6,66	0,12	-999,0	0,12	4,32	0,12	5,66	0,12	8,14	0,12	8,09	0,12	4,70	0,12	7,63
5,28	6,83	3,74	0,13	5,72	0,13	5,48	0,13	3,34	0,13	5,11	0,13	3,76	0,13	22,46	0,13	5,89	0,13	4,20	0,13	10,80	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	6,63	0,13	-999,0	0,13	4,31	0,13	5,65	0,13	8,13	0,13	8,08	0,13	4,70	0,13	7,61
5,28	6,82	3,73	0,15	5,71	0,15	5,48	0,15	3,34	0,15	5,12	0,15	3,77	0,15	22,40	0,15	5,90	0,15	4,20	0,15	10,80	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	6,60	0,15	-999,0	0,15	4,31	0,15	5,65	0,15	8,12	0,15	8,08	0,15	4,69	0,15	7,59
5,27	6,80	3,73	0,17	5,71	0,17	5,48	0,17	3,34	0,17	5,13	0,17	3,78	0,17	22,34	0,17	5,91	0,17	4,19	0,17	10,80	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	6,57	0,17	-999,0	0,17	4,30	0,17	5,64	0,17	8,11	0,17	8,08	0,17	4,68	0,17	7,57
5,26	6,79	3,73	0,18	5,70	0,18	5,48	0,18	3,34	0,18	5,14	0,18	3,78	0,18	22,28	0,18	5,93	0,18	4,19	0,18	10,80	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	6,54	0,18	-999,0	0,18	4,29	0,18	5,64	0,18	8,09	0,18	8,07	0,18	4,67	0,18	7,55
5,25	6,77	3,73	0,20	5,70	0,20	5,48	0,20	3,34	0,20	5,15	0,20	3,79	0,20	22,21	0,20	5,95	0,20	4,18	0,20	10,81	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	6,51	0,20	-999,0	0,20	4,28	0,20	5,64	0,20	8,07	0,20	8,07	0,20	4,65	0,20	7,53
5,24	6,75	3,72	0,22	5,69	0,22	5,48	0,22	3,33	0,22	5,16	0,22	3,79	0,22	22,13	0,22	5,97	0,22	4,18	0,22	10,83	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	6,48	0,22	-999,0	0,22	4,26	0,22	5,63	0,22	8,06	0,22	8,07	0,22	4,64	0,22	7,50
5,23	6,74	3,72	0,23	5,70	0,23	5,48	0,23	3,33	0,23	5,17	0,23	3,80	0,23	22,04	0,23	5,99	0,23	4,17	0,23	10,84	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	6,45	0,23	-999,0	0,23	4,25	0,23	5,62	0,23	8,03	0,23	8,06	0,23	4,63	0,23	7,48
