Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
3,35	3,66	3,05	0,00	4,42	0,00	3,74	0,00	2,95	0,00	3,78	0,00	3,21	0,00	14,21	0,00	4,16	0,00	2,94	0,00	4,04	0,00	-999,0	0,00	2,93	0,00	-999,0	0,00	3,20	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	2,05	0,00	-999,0	0,00	2,52	0,00	1,70	0,00	2,93	0,00	0,87	0,00	-999,0	0,00	3,80	0,00	3,50	0,00	3,66	0,00	4,26	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	3,53
3,35	3,66	3,05	0,02	4,42	0,02	3,74	0,02	2,95	0,02	3,77	0,02	3,21	0,02	14,21	0,02	4,16	0,02	2,94	0,02	4,04	0,02	-999,0	0,02	2,93	0,02	-999,0	0,02	3,20	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	2,05	0,02	-999,0	0,02	2,52	0,02	1,70	0,02	2,93	0,02	0,87	0,02	-999,0	0,02	3,80	0,02	3,50	0,02	3,66	0,02	4,26	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	3,53
3,35	3,66	3,05	0,03	4,42	0,03	3,74	0,03	2,95	0,03	3,77	0,03	3,21	0,03	14,20	0,03	4,16	0,03	2,94	0,03	4,04	0,03	-999,0	0,03	2,93	0,03	-999,0	0,03	3,20	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	2,05	0,03	-999,0	0,03	2,52	0,03	1,70	0,03	2,93	0,03	0,87	0,03	-999,0	0,03	3,80	0,03	3,50	0,03	3,66	0,03	4,26	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	3,53
3,35	3,65	3,05	0,05	4,42	0,05	3,74	0,05	2,95	0,05	3,77	0,05	3,21	0,05	14,19	0,05	4,16	0,05	2,94	0,05	4,04	0,05	-999,0	0,05	2,93	0,05	-999,0	0,05	3,20	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	2,05	0,05	-999,0	0,05	2,52	0,05	1,70	0,05	2,93	0,05	0,87	0,05	-999,0	0,05	3,80	0,05	3,50	0,05	3,66	0,05	4,26	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	3,52
3,35	3,65	3,05	0,07	4,42	0,07	3,74	0,07	2,95	0,07	3,77	0,07	3,21	0,07	14,17	0,07	4,15	0,07	2,93	0,07	4,04	0,07	-999,0	0,07	2,93	0,07	-999,0	0,07	3,20	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	2,05	0,07	-999,0	0,07	2,52	0,07	1,70	0,07	2,93	0,07	0,87	0,07	-999,0	0,07	3,80	0,07	3,50	0,07	3,66	0,07	4,26	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	3,52
3,35	3,65	3,05	0,08	4,42	0,08	3,74	0,08	2,95	0,08	3,77	0,08	3,20	0,08	14,14	0,08	4,15	0,08	2,93	0,08	4,03	0,08	-999,0	0,08	2,92	0,08	-999,0	0,08	3,20	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	2,05	0,08	-999,0	0,08	2,53	0,08	1,70	0,08	2,93	0,08	0,87	0,08	-999,0	0,08	3,81	0,08	3,50	0,08	3,65	0,08	4,26	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	3,52
3,35	3,65	3,04	0,10	4,41	0,10	3,74	0,10	2,95	0,10	3,77	0,10	3,20	0,10	14,11	0,10	4,15	0,10	2,93	0,10	4,03	0,10	-999,0	0,10	2,92	0,10	-999,0	0,10	3,18	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	2,05	0,10	-999,0	0,10	2,53	0,10	1,70	0,10	2,93	0,10	0,87	0,10	-999,0	0,10	3,81	0,10	3,50	0,10	3,65	0,10	4,26	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	3,52
3,34	3,65	3,03	0,12	4,41	0,12	3,74	0,12	2,94	0,12	3,77	0,12	3,20	0,12	14,07	0,12	4,15	0,12	2,93	0,12	4,02	0,12	-999,0	0,12	2,92	0,12	-999,0	0,12	3,17	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	2,06	0,12	-999,0	0,12	2,54	0,12	1,70	0,12	2,93	0,12	0,88	0,12	-999,0	0,12	3,81	0,12	3,49	0,12	3,65	0,12	4,26	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	3,51
3,34	3,65	3,03	0,13	4,41	0,13	3,74	0,13	2,94	0,13	3,77	0,13	3,19	0,13	14,03	0,13	4,14	0,13	2,92	0,13	4,02	0,13	-999,0	0,13	2,92	0,13	-999,0	0,13	3,16	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	2,07	0,13	-999,0	0,13	2,54	0,13	1,70	0,13	2,93	0,13	0,88	0,13	-999,0	0,13	3,81	0,13	3,49	0,13	3,64	0,13	4,25	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	3,51
3,33	3,64	3,02	0,15	4,40	0,15	3,74	0,15	2,94	0,15	3,77	0,15	3,19	0,15	13,98	0,15	4,14	0,15	2,92	0,15	4,01	0,15	-999,0	0,15	2,91	0,15	-999,0	0,15	3,15	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	2,07	0,15	-999,0	0,15	2,54	0,15	1,70	0,15	2,93	0,15	0,88	0,15	-999,0	0,15	3,82	0,15	3,49	0,15	3,64	0,15	4,25	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	3,50
3,33	3,64	3,02	0,17	4,40	0,17	3,74	0,17	2,94	0,17	3,77	0,17	3,18	0,17	13,93	0,17	4,14	0,17	2,91	0,17	4,00	0,17	-999,0	0,17	2,91	0,17	-999,0	0,17	3,14	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	2,08	0,17	-999,0	0,17	2,55	0,17	1,70	0,17	2,93	0,17	0,88	0,17	-999,0	0,17	3,82	0,17	3,49	0,17	3,63	0,17	4,25	0,17	-999,0	0,17	-999,0	0,17	-999,0	0,17	3,50
3,32	3,64	3,01	0,18	4,40	0,18	3,74	0,18	2,93	0,18	3,76	0,18	3,17	0,18	13,87	0,18	4,13	0,18	2,91	0,18	3,99	0,18	-999,0	0,18	2,91	0,18	-999,0	0,18	3,13	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	2,09	0,18	-999,0	0,18	2,55	0,18	1,70	0,18	2,93	0,18	0,89	0,18	-999,0	0,18	3,82	0,18	3,49	0,18	3,63	0,18	4,25	0,18	-999,0	0,18	-999,0	0,18	-999,0	0,18	3,49
3,32	3,63	3,00	0,20	4,39	0,20	3,74	0,20	2,93	0,20	3,76	0,20	3,17	0,20	13,80	0,20	4,13	0,20	2,90	0,20	3,98	0,20	-999,0	0,20	2,90	0,20	-999,0	0,20	3,12	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	2,10	0,20	-999,0	0,20	2,56	0,20	1,71	0,20	2,93	0,20	0,89	0,20	-999,0	0,20	3,82	0,20	3,48	0,20	3,62	0,20	4,25	0,20	-999,0	0,20	-999,0	0,20	-999,0	0,20	3,48
3,31	3,63	2,99	0,22	4,39	0,22	3,74	0,22	2,92	0,22	3,76	0,22	3,16	0,22	13,72	0,22	4,12	0,22	2,90	0,22	3,98	0,22	-999,0	0,22	2,90	0,22	-999,0	0,22	3,11	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	2,10	0,22	-999,0	0,22	2,56	0,22	1,71	0,22	2,93	0,22	0,89	0,22	-999,0	0,22	3,83	0,22	3,48	0,22	3,62	0,22	4,24	0,22	-999,0	0,22	-999,0	0,22	-999,0	0,22	3,47
3,31	3,63	2,99	0,23	4,38	0,23	3,74	0,23	2,92	0,23	3,75	0,23	3,15	0,23	13,64	0,23	4,12	0,23	2,89	0,23	3,97	0,23	-999,0	0,23	2,89	0,23	-999,0	0,23	3,10	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	2,10	0,23	-999,0	0,23	2,57	0,23	1,71	0,23	2,93	0,23	0,89	0,23	-999,0	0,23	3,83	0,23	3,48	0,23	3,61	0,23	4,24	0,23	-999,0	0,23	-999,0	0,23	-999,0	0,23	3,47
