Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
8,71	10,90	6,51	0,00	7,12	0,00	8,58	0,00	6,45	0,00	5,66	0,00	6,97	0,00	5,92	0,00	6,53	0,00	8,24	0,00	5,70	0,00	4,98	0,00	8,44	0,00	4,61	0,00	6,21	0,00	7,88	0,00	7,46	0,00	9,28	0,00	7,15	0,00	9,22	0,00	8,24	0,00	7,48	0,00	8,15	0,00	8,59	0,00	10,22	0,00	12,05	0,00	11,11	0,00	13,13	0,00	12,79	0,00	11,96	0,00	13,19	0,00	11,79	0,00	10,51
8,71	10,90	6,51	0,02	7,12	0,02	8,58	0,02	6,45	0,02	5,66	0,02	6,97	0,02	5,92	0,02	6,53	0,02	8,24	0,02	5,70	0,02	4,98	0,02	8,43	0,02	4,61	0,02	6,21	0,02	7,88	0,02	7,46	0,02	9,28	0,02	7,15	0,02	9,22	0,02	8,24	0,02	7,48	0,02	8,15	0,02	8,59	0,02	10,22	0,02	12,05	0,02	11,11	0,02	13,13	0,02	12,79	0,02	11,96	0,02	13,19	0,02	11,78	0,02	10,51
8,70	10,89	6,51	0,03	7,12	0,03	8,57	0,03	6,44	0,03	5,65	0,03	6,97	0,03	5,92	0,03	6,52	0,03	8,25	0,03	5,69	0,03	4,98	0,03	8,43	0,03	4,61	0,03	6,21	0,03	7,87	0,03	7,46	0,03	9,27	0,03	7,15	0,03	9,22	0,03	8,24	0,03	7,48	0,03	8,15	0,03	8,59	0,03	10,22	0,03	12,05	0,03	11,11	0,03	13,13	0,03	12,79	0,03	11,96	0,03	13,19	0,03	11,78	0,03	10,50
8,69	10,88	6,50	0,05	7,12	0,05	8,56	0,05	6,44	0,05	5,65	0,05	6,97	0,05	5,92	0,05	6,52	0,05	8,25	0,05	5,69	0,05	4,97	0,05	8,43	0,05	4,61	0,05	6,20	0,05	7,87	0,05	7,45	0,05	9,28	0,05	7,14	0,05	9,21	0,05	8,23	0,05	7,48	0,05	8,15	0,05	8,58	0,05	10,22	0,05	12,04	0,05	11,11	0,05	13,13	0,05	12,79	0,05	11,96	0,05	13,19	0,05	11,77	0,05	10,49
8,69	10,87	6,50	0,07	7,11	0,07	8,55	0,07	6,44	0,07	5,64	0,07	6,97	0,07	5,92	0,07	6,52	0,07	8,25	0,07	5,69	0,07	4,97	0,07	8,43	0,07	4,61	0,07	6,20	0,07	7,87	0,07	7,45	0,07	9,28	0,07	7,14	0,07	9,21	0,07	8,23	0,07	7,48	0,07	8,14	0,07	8,58	0,07	10,21	0,07	12,04	0,07	11,11	0,07	13,13	0,07	12,79	0,07	11,96	0,07	13,18	0,07	11,76	0,07	10,48
8,67	10,85	6,49	0,08	7,11	0,08	8,54	0,08	6,43	0,08	5,64	0,08	6,96	0,08	5,92	0,08	6,51	0,08	8,25	0,08	5,69	0,08	4,96	0,08	8,42	0,08	4,61	0,08	6,20	0,08	7,86	0,08	7,44	0,08	9,28	0,08	7,13	0,08	9,20	0,08	8,22	0,08	7,48	0,08	8,14	0,08	8,58	0,08	10,21	0,08	12,03	0,08	11,11	0,08	13,13	0,08	12,79	0,08	11,96	0,08	13,18	0,08	11,74	0,08	10,46
8,66	10,84	6,48	0,10	7,11	0,10	8,52	0,10	6,41	0,10	5,63	0,10	6,96	0,10	5,92	0,10	6,51	0,10	8,25	0,10	5,69	0,10	4,96	0,10	8,42	0,10	4,60	0,10	6,19	0,10	7,86	0,10	7,43	0,10	9,28	0,10	7,12	0,10	9,19	0,10	8,22	0,10	7,48	0,10	8,14	0,10	8,58	0,10	10,21	0,10	12,02	0,10	11,11	0,10	13,13	0,10	12,79	0,10	11,96	0,10	13,17	0,10	11,73	0,10	10,45
8,65	10,82	6,47	0,12	7,11	0,12	8,50	0,12	6,40	0,12	5,62	0,12	6,95	0,12	5,92	0,12	6,52	0,12	8,24	0,12	5,69	0,12	4,95	0,12	8,41	0,12	4,60	0,12	6,19	0,12	7,85	0,12	7,42	0,12	9,28	0,12	7,12	0,12	9,18	0,12	8,21	0,12	7,48	0,12	8,13	0,12	8,57	0,12	10,21	0,12	12,01	0,12	11,11	0,12	13,13	0,12	12,80	0,12	11,96	0,12	13,17	0,12	11,71	0,12	10,43
8,64	10,81	6,46	0,13	7,10	0,13	8,49	0,13	6,39	0,13	5,61	0,13	6,94	0,13	5,92	0,13	6,52	0,13	8,23	0,13	5,69	0,13	4,94	0,13	8,40	0,13	4,59	0,13	6,18	0,13	7,84	0,13	7,41	0,13	9,28	0,13	7,10	0,13	9,16	0,13	8,20	0,13	7,48	0,13	8,13	0,13	8,57	0,13	10,20	0,13	12,00	0,13	11,11	0,13	13,12	0,13	12,81	0,13	11,96	0,13	13,16	0,13	11,70	0,13	10,42
8,62	10,79	6,45	0,15	7,10	0,15	8,46	0,15	6,37	0,15	5,60	0,15	6,93	0,15	5,92	0,15	6,52	0,15	8,22	0,15	5,68	0,15	4,94	0,15	8,39	0,15	4,59	0,15	6,18	0,15	7,83	0,15	7,40	0,15	9,28	0,15	7,09	0,15	9,15	0,15	8,19	0,15	7,48	0,15	8,12	0,15	8,56	0,15	10,20	0,15	11,99	0,15	11,11	0,15	13,12	0,15	12,81	0,15	11,95	0,15	13,15	0,15	11,68	0,15	10,40
