Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,72	7,09	4,36	0,00	4,88	0,00	4,64	0,00	5,53	0,00	4,73	0,00	7,85	0,00	6,90	0,00	13,21	0,00	9,63	0,00	14,97	0,00	5,50	0,00	9,50	0,00	3,68	0,00	4,01	0,00	4,92	0,00	4,22	0,00	6,34	0,00	9,96	0,00	5,47	0,00	4,09	0,00	3,58	0,00	6,46	0,00	6,51	0,00	7,05	0,00	7,68	0,00	6,85	0,00	4,51	0,00	8,01	0,00	11,92	0,00	10,00	0,00	6,61	0,00	7,83
5,72	7,09	4,36	0,02	4,88	0,02	4,64	0,02	5,53	0,02	4,73	0,02	7,86	0,02	6,90	0,02	13,21	0,02	9,63	0,02	14,97	0,02	5,50	0,02	9,50	0,02	3,68	0,02	4,01	0,02	4,92	0,02	4,22	0,02	6,34	0,02	9,96	0,02	5,47	0,02	4,09	0,02	3,58	0,02	6,46	0,02	6,51	0,02	7,03	0,02	7,68	0,02	6,85	0,02	4,51	0,02	8,01	0,02	11,92	0,02	10,00	0,02	6,61	0,02	7,83
5,72	7,09	4,36	0,03	4,88	0,03	4,64	0,03	5,53	0,03	4,73	0,03	7,87	0,03	6,90	0,03	13,20	0,03	9,63	0,03	14,96	0,03	5,50	0,03	9,50	0,03	3,68	0,03	4,01	0,03	4,91	0,03	4,22	0,03	6,34	0,03	9,95	0,03	5,47	0,03	4,09	0,03	3,58	0,03	6,46	0,03	6,52	0,03	7,00	0,03	7,67	0,03	6,84	0,03	4,51	0,03	8,01	0,03	11,92	0,03	10,00	0,03	6,61	0,03	7,83
5,72	7,09	4,36	0,05	4,88	0,05	4,64	0,05	5,53	0,05	4,73	0,05	7,88	0,05	6,91	0,05	13,20	0,05	9,63	0,05	14,96	0,05	5,50	0,05	9,49	0,05	3,68	0,05	4,01	0,05	4,91	0,05	4,21	0,05	6,34	0,05	9,95	0,05	5,47	0,05	4,09	0,05	3,58	0,05	6,46	0,05	6,52	0,05	6,97	0,05	7,67	0,05	6,84	0,05	4,51	0,05	8,01	0,05	11,91	0,05	9,99	0,05	6,61	0,05	7,83
5,73	7,10	4,35	0,07	4,88	0,07	4,64	0,07	5,53	0,07	4,73	0,07	7,89	0,07	6,91	0,07	13,19	0,07	9,63	0,07	14,95	0,07	5,49	0,07	9,49	0,07	3,68	0,07	4,01	0,07	4,90	0,07	4,21	0,07	6,34	0,07	9,94	0,07	5,47	0,07	4,09	0,07	3,58	0,07	6,47	0,07	6,52	0,07	6,93	0,07	7,65	0,07	6,84	0,07	4,51	0,07	8,00	0,07	11,90	0,07	9,98	0,07	6,61	0,07	7,84
5,73	7,10	4,35	0,08	4,88	0,08	4,64	0,08	5,53	0,08	4,74	0,08	7,90	0,08	6,90	0,08	13,18	0,08	9,62	0,08	14,94	0,08	5,49	0,08	9,48	0,08	3,68	0,08	4,00	0,08	4,89	0,08	4,20	0,08	6,32	0,08	9,94	0,08	5,47	0,08	4,09	0,08	3,58	0,08	6,47	0,08	6,53	0,08	6,89	0,08	7,60	0,08	6,83	0,08	4,51	0,08	8,00	0,08	11,89	0,08	9,97	0,08	6,62	0,08	7,84
5,73	7,11	4,35	0,10	4,88	0,10	4,64	0,10	5,53	0,10	4,75	0,10	7,91	0,10	6,90	0,10	13,17	0,10	9,61	0,10	14,94	0,10	5,49	0,10	9,47	0,10	3,68	0,10	4,00	0,10	4,88	0,10	4,20	0,10	6,31	0,10	9,93	0,10	5,48	0,10	4,09	0,10	3,58	0,10	6,47	0,10	6,50	0,10	6,86	0,10	7,55	0,10	6,82	0,10	4,50	0,10	7,99	0,10	11,87	0,10	9,97	0,10	6,62	0,10	7,85
5,73	7,11	4,34	0,12	4,88	0,12	4,64	0,12	5,53	0,12	4,75	0,12	7,92	0,12	6,89	0,12	13,15	0,12	9,60	0,12	14,92	0,12	5,49	0,12	9,45	0,12	3,67	0,12	3,99	0,12	4,87	0,12	4,19	0,12	6,30	0,12	9,92	0,12	5,48	0,12	4,09	0,12	3,58	0,12	6,47	0,12	6,47	0,12	6,82	0,12	7,51	0,12	6,81	0,12	4,50	0,12	7,98	0,12	11,85	0,12	9,96	0,12	6,62	0,12	7,85
5,72	7,11	4,34	0,13	4,88	0,13	4,64	0,13	5,53	0,13	4,76	0,13	7,93	0,13	6,88	0,13	13,13	0,13	9,59	0,13	14,91	0,13	5,49	0,13	9,44	0,13	3,67	0,13	3,98	0,13	4,86	0,13	4,18	0,13	6,28	0,13	9,91	0,13	5,48	0,13	4,09	0,13	3,58	0,13	6,48	0,13	6,44	0,13	6,79	0,13	7,46	0,13	6,80	0,13	4,50	0,13	7,96	0,13	11,83	0,13	9,95	0,13	6,62	0,13	7,85
5,72	7,11	4,33	0,15	4,89	0,15	4,64	0,15	5,53	0,15	4,77	0,15	7,93	0,15	6,86	0,15	13,11	0,15	9,58	0,15	14,89	0,15	5,49	0,15	9,42	0,15	3,67	0,15	3,97	0,15	4,84	0,15	4,18	0,15	6,26	0,15	9,88	0,15	5,48	0,15	4,09	0,15	3,58	0,15	6,48	0,15	6,41	0,15	6,75	0,15	7,41	0,15	6,77	0,15	4,50	0,15	7,95	0,15	11,81	0,15	9,94	0,15	6,61	0,15	7,85
