Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
4,55	5,32	3,78	0,00	4,99	0,00	5,37	0,00	5,07	0,00	2,67	0,00	4,74	0,00	13,79	0,00	8,03	0,00	5,72	0,00	7,62	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	3,90	0,00	4,33	0,00	5,01	0,00	5,46	0,00	3,35	0,00	5,45	0,00	5,90	0,00	4,93	0,00	3,36	0,00	4,39
4,55	5,32	3,78	0,02	4,99	0,02	5,37	0,02	5,07	0,02	2,67	0,02	4,74	0,02	13,79	0,02	8,03	0,02	5,72	0,02	7,62	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	3,90	0,02	4,33	0,02	5,01	0,02	5,46	0,02	3,35	0,02	5,45	0,02	5,90	0,02	4,93	0,02	3,36	0,02	4,39
4,55	5,32	3,78	0,03	4,99	0,03	5,37	0,03	5,07	0,03	2,67	0,03	4,74	0,03	13,79	0,03	8,03	0,03	5,72	0,03	7,62	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	3,90	0,03	4,33	0,03	5,01	0,03	5,46	0,03	3,35	0,03	5,45	0,03	5,90	0,03	4,93	0,03	3,36	0,03	4,39
4,55	5,32	3,78	0,05	4,98	0,05	5,37	0,05	5,07	0,05	2,67	0,05	4,74	0,05	13,79	0,05	8,03	0,05	5,74	0,05	7,64	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	3,90	0,05	4,32	0,05	5,01	0,05	5,46	0,05	3,35	0,05	5,45	0,05	5,90	0,05	4,93	0,05	3,36	0,05	4,39
4,55	5,32	3,78	0,07	4,97	0,07	5,37	0,07	5,07	0,07	2,67	0,07	4,74	0,07	13,79	0,07	8,03	0,07	5,75	0,07	7,67	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	3,90	0,07	4,32	0,07	5,01	0,07	5,45	0,07	3,34	0,07	5,45	0,07	5,89	0,07	4,93	0,07	3,36	0,07	4,39
4,54	5,32	3,77	0,08	4,96	0,08	5,37	0,08	5,07	0,08	2,67	0,08	4,74	0,08	13,79	0,08	8,03	0,08	5,76	0,08	7,69	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	3,90	0,08	4,32	0,08	5,00	0,08	5,45	0,08	3,34	0,08	5,44	0,08	5,89	0,08	4,92	0,08	3,35	0,08	4,38
4,54	5,32	3,77	0,10	4,95	0,10	5,37	0,10	5,07	0,10	2,67	0,10	4,73	0,10	13,79	0,10	8,03	0,10	5,78	0,10	7,72	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	3,90	0,10	4,32	0,10	5,00	0,10	5,44	0,10	3,33	0,10	5,44	0,10	5,89	0,10	4,92	0,10	3,35	0,10	4,38
4,54	5,32	3,76	0,12	4,94	0,12	5,36	0,12	5,07	0,12	2,67	0,12	4,73	0,12	13,79	0,12	8,05	0,12	5,79	0,12	7,74	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	3,90	0,12	4,31	0,12	4,99	0,12	5,43	0,12	3,33	0,12	5,44	0,12	5,88	0,12	4,91	0,12	3,34	0,12	4,38
4,53	5,31	3,76	0,13	4,93	0,13	5,35	0,13	5,07	0,13	2,67	0,13	4,73	0,13	13,79	0,13	8,06	0,13	5,80	0,13	7,76	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	3,90	0,13	4,31	0,13	4,99	0,13	5,42	0,13	3,33	0,13	5,43	0,13	5,87	0,13	4,91	0,13	3,34	0,13	4,37
4,53	5,30	3,75	0,15	4,92	0,15	5,34	0,15	5,07	0,15	2,67	0,15	4,72	0,15	13,79	0,15	8,08	0,15	5,81	0,15	7,79	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	3,90	0,15	4,30	0,15	4,98	0,15	5,41	0,15	3,32	0,15	5,43	0,15	5,86	0,15	4,90	0,15	3,33	0,15	4,37
