Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
4,64	5,02	4,27	0,00	5,60	0,00	5,02	0,00	4,27	0,00	7,11	0,00	10,97	0,00	3,03	0,00	-999,0	0,00	12,14	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0
4,64	5,02	4,27	0,02	5,60	0,02	5,02	0,02	4,27	0,02	7,11	0,02	10,97	0,02	3,03	0,02	-999,0	0,02	12,14	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0
4,64	5,02	4,27	0,03	5,59	0,03	5,02	0,03	4,27	0,03	7,11	0,03	10,96	0,03	3,03	0,03	-999,0	0,03	12,14	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0
4,64	5,02	4,27	0,05	5,59	0,05	5,02	0,05	4,27	0,05	7,11	0,05	10,96	0,05	3,03	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0
4,65	5,03	4,27	0,07	5,59	0,07	5,03	0,07	4,27	0,07	7,11	0,07	10,96	0,07	3,03	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0
4,64	5,03	4,26	0,08	5,59	0,08	5,03	0,08	4,26	0,08	7,10	0,08	10,96	0,08	3,03	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0
4,65	5,04	4,26	0,10	5,59	0,10	5,04	0,10	4,26	0,10	7,10	0,10	10,96	0,10	3,03	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0
4,65	5,04	4,26	0,12	5,58	0,12	5,04	0,12	4,26	0,12	7,10	0,12	10,96	0,12	3,03	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0
4,65	5,05	4,26	0,13	5,58	0,13	5,05	0,13	4,26	0,13	7,10	0,13	10,95	0,13	3,03	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0
4,65	5,05	4,26	0,15	5,58	0,15	5,05	0,15	4,26	0,15	7,09	0,15	10,95	0,15	3,03	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0
