Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
9,21	11,96	6,46	0,00	9,11	0,00	8,89	0,00	6,44	0,00	6,41	0,00	9,79	0,00	4,68	0,00	7,66	0,00	10,99	0,00	8,56	0,00	6,93	0,00	8,68	0,00	4,12	0,00	6,02	0,00	7,37	0,00	8,47	0,00	9,05	0,00	7,23	0,00	11,23	0,00	7,60	0,00	8,65	0,00	9,27	0,00	9,82	0,00	10,48	0,00	14,18	0,00	11,39	0,00	12,93	0,00	14,37	0,00	11,18	0,00	11,43	0,00	11,98	0,00	12,70
9,21	11,96	6,46	0,02	9,11	0,02	8,89	0,02	6,44	0,02	6,41	0,02	9,79	0,02	4,68	0,02	7,66	0,02	10,99	0,02	8,56	0,02	6,93	0,02	8,68	0,02	4,12	0,02	6,02	0,02	7,37	0,02	8,47	0,02	9,05	0,02	7,23	0,02	11,23	0,02	7,60	0,02	8,65	0,02	9,27	0,02	9,82	0,02	10,48	0,02	14,18	0,02	11,39	0,02	12,93	0,02	14,37	0,02	11,18	0,02	11,44	0,02	11,98	0,02	12,70
9,20	11,95	6,46	0,03	9,10	0,03	8,89	0,03	6,44	0,03	6,41	0,03	9,79	0,03	4,68	0,03	7,65	0,03	10,99	0,03	8,56	0,03	6,93	0,03	8,68	0,03	4,12	0,03	6,02	0,03	7,37	0,03	8,47	0,03	9,04	0,03	7,23	0,03	11,22	0,03	7,60	0,03	8,65	0,03	9,27	0,03	9,81	0,03	10,48	0,03	14,18	0,03	11,39	0,03	12,93	0,03	14,37	0,03	11,18	0,03	11,45	0,03	11,98	0,03	12,69
9,20	11,94	6,45	0,05	9,10	0,05	8,89	0,05	6,43	0,05	6,41	0,05	9,78	0,05	4,68	0,05	7,65	0,05	10,98	0,05	8,56	0,05	6,93	0,05	8,68	0,05	4,12	0,05	6,02	0,05	7,37	0,05	8,48	0,05	9,04	0,05	7,22	0,05	11,22	0,05	7,59	0,05	8,65	0,05	9,26	0,05	9,81	0,05	10,47	0,05	14,17	0,05	11,39	0,05	12,92	0,05	14,38	0,05	11,18	0,05	11,46	0,05	11,97	0,05	12,68
9,20	11,95	6,45	0,07	9,10	0,07	8,88	0,07	6,43	0,07	6,41	0,07	9,77	0,07	4,68	0,07	7,65	0,07	10,97	0,07	8,55	0,07	6,92	0,07	8,68	0,07	4,12	0,07	6,01	0,07	7,37	0,07	8,48	0,07	9,04	0,07	7,22	0,07	11,21	0,07	7,59	0,07	8,65	0,07	9,26	0,07	9,81	0,07	10,47	0,07	14,16	0,07	11,38	0,07	12,92	0,07	14,38	0,07	11,19	0,07	11,47	0,07	11,97	0,07	12,69
9,19	11,94	6,44	0,08	9,09	0,08	8,87	0,08	6,42	0,08	6,41	0,08	9,76	0,08	4,68	0,08	7,64	0,08	10,96	0,08	8,55	0,08	6,92	0,08	8,67	0,08	4,12	0,08	6,00	0,08	7,36	0,08	8,49	0,08	9,04	0,08	7,21	0,08	11,19	0,08	7,59	0,08	8,64	0,08	9,26	0,08	9,80	0,08	10,46	0,08	14,15	0,08	11,38	0,08	12,91	0,08	14,38	0,08	11,22	0,08	11,47	0,08	11,97	0,08	12,69
9,19	11,94	6,43	0,10	9,08	0,10	8,86	0,10	6,42	0,10	6,40	0,10	9,75	0,10	4,68	0,10	7,63	0,10	10,94	0,10	8,55	0,10	6,92	0,10	8,67	0,10	4,12	0,10	5,99	0,10	7,37	0,10	8,49	0,10	9,04	0,10	7,21	0,10	11,18	0,10	7,58	0,10	8,64	0,10	9,25	0,10	9,80	0,10	10,45	0,10	14,13	0,10	11,38	0,10	12,89	0,10	14,38	0,10	11,25	0,10	11,48	0,10	11,97	0,10	12,69
9,18	11,94	6,42	0,12	9,07	0,12	8,85	0,12	6,41	0,12	6,39	0,12	9,74	0,12	4,69	0,12	7,62	0,12	10,92	0,12	8,54	0,12	6,91	0,12	8,66	0,12	4,11	0,12	5,98	0,12	7,37	0,12	8,49	0,12	9,04	0,12	7,20	0,12	11,17	0,12	7,58	0,12	8,63	0,12	9,25	0,12	9,79	0,12	10,44	0,12	14,12	0,12	11,38	0,12	12,87	0,12	14,38	0,12	11,28	0,12	11,48	0,12	11,96	0,12	12,69
9,18	11,94	6,41	0,13	9,05	0,13	8,85	0,13	6,40	0,13	6,38	0,13	9,72	0,13	4,69	0,13	7,61	0,13	10,90	0,13	8,53	0,13	6,90	0,13	8,65	0,13	4,11	0,13	5,97	0,13	7,38	0,13	8,49	0,13	9,04	0,13	7,19	0,13	11,15	0,13	7,57	0,13	8,63	0,13	9,24	0,13	9,79	0,13	10,43	0,13	14,10	0,13	11,37	0,13	12,85	0,13	14,38	0,13	11,31	0,13	11,48	0,13	11,97	0,13	12,69
9,17	11,94	6,40	0,15	9,03	0,15	8,84	0,15	6,39	0,15	6,37	0,15	9,70	0,15	4,69	0,15	7,60	0,15	10,88	0,15	8,53	0,15	6,89	0,15	8,65	0,15	4,10	0,15	5,95	0,15	7,38	0,15	8,49	0,15	9,04	0,15	7,19	0,15	11,13	0,15	7,56	0,15	8,62	0,15	9,23	0,15	9,78	0,15	10,42	0,15	14,08	0,15	11,37	0,15	12,83	0,15	14,38	0,15	11,35	0,15	11,48	0,15	11,97	0,15	12,69
