Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
8,93	11,42	6,45	0,00	8,70	0,00	9,49	0,00	6,53	0,00	6,16	0,00	8,30	0,00	4,66	0,00	6,66	0,00	9,83	0,00	7,33	0,00	6,39	0,00	8,07	0,00	4,06	0,00	5,61	0,00	7,41	0,00	8,31	0,00	7,79	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	-999,0	0,00	8,45	0,00	8,88	0,00	9,43	0,00	13,07	0,00	9,76	0,00	12,58	0,00	13,07	0,00	10,39	0,00	10,65	0,00	11,95	0,00	11,09
8,93	11,42	6,45	0,02	8,70	0,02	9,49	0,02	6,53	0,02	6,16	0,02	8,30	0,02	4,66	0,02	6,66	0,02	9,83	0,02	7,32	0,02	6,39	0,02	8,07	0,02	4,06	0,02	5,61	0,02	7,41	0,02	8,31	0,02	7,79	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	-999,0	0,02	8,45	0,02	8,88	0,02	9,43	0,02	13,06	0,02	9,76	0,02	12,58	0,02	13,07	0,02	10,39	0,02	10,65	0,02	11,95	0,02	11,09
8,93	11,42	6,44	0,03	8,70	0,03	9,49	0,03	6,52	0,03	6,16	0,03	8,29	0,03	4,66	0,03	6,66	0,03	9,83	0,03	7,32	0,03	6,39	0,03	8,07	0,03	4,06	0,03	5,60	0,03	7,41	0,03	8,30	0,03	7,79	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	-999,0	0,03	8,45	0,03	8,88	0,03	9,43	0,03	13,06	0,03	9,76	0,03	12,58	0,03	13,08	0,03	10,39	0,03	10,65	0,03	11,95	0,03	11,08
8,93	11,42	6,44	0,05	8,69	0,05	9,49	0,05	6,52	0,05	6,16	0,05	8,29	0,05	4,66	0,05	6,65	0,05	9,82	0,05	7,32	0,05	6,39	0,05	8,07	0,05	4,07	0,05	5,60	0,05	7,41	0,05	8,30	0,05	7,79	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	-999,0	0,05	8,44	0,05	8,88	0,05	9,42	0,05	13,06	0,05	9,76	0,05	12,58	0,05	13,08	0,05	10,39	0,05	10,66	0,05	11,95	0,05	11,08
8,92	11,41	6,43	0,07	8,69	0,07	9,48	0,07	6,51	0,07	6,16	0,07	8,28	0,07	4,66	0,07	6,65	0,07	9,82	0,07	7,32	0,07	6,38	0,07	8,07	0,07	4,08	0,07	5,60	0,07	7,40	0,07	8,30	0,07	7,79	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	-999,0	0,07	8,44	0,07	8,87	0,07	9,42	0,07	13,05	0,07	9,76	0,07	12,57	0,07	13,09	0,07	10,39	0,07	10,66	0,07	11,95	0,07	11,07
8,91	11,40	6,43	0,08	8,69	0,08	9,47	0,08	6,50	0,08	6,16	0,08	8,27	0,08	4,66	0,08	6,64	0,08	9,81	0,08	7,31	0,08	6,38	0,08	8,06	0,08	4,09	0,08	5,60	0,08	7,40	0,08	8,29	0,08	7,78	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	-999,0	0,08	8,44	0,08	8,87	0,08	9,42	0,08	13,04	0,08	9,76	0,08	12,56	0,08	13,09	0,08	10,40	0,08	10,67	0,08	11,95	0,08	11,05
8,91	11,39	6,42	0,10	8,68	0,10	9,45	0,10	6,50	0,10	6,15	0,10	8,26	0,10	4,66	0,10	6,64	0,10	9,80	0,10	7,31	0,10	6,37	0,10	8,07	0,10	4,10	0,10	5,59	0,10	7,39	0,10	8,28	0,10	7,78	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	8,43	0,10	8,87	0,10	9,41	0,10	13,03	0,10	9,76	0,10	12,54	0,10	13,09	0,10	10,41	0,10	10,68	0,10	11,95	0,10	11,04
8,90	11,38	6,41	0,12	8,67	0,12	9,44	0,12	6,49	0,12	6,14	0,12	8,25	0,12	4,66	0,12	6,63	0,12	9,78	0,12	7,30	0,12	6,37	0,12	8,08	0,12	4,10	0,12	5,59	0,12	7,38	0,12	8,27	0,12	7,78	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	8,43	0,12	8,86	0,12	9,40	0,12	13,01	0,12	9,76	0,12	12,53	0,12	13,10	0,12	10,44	0,12	10,68	0,12	11,94	0,12	11,03
8,89	11,37	6,40	0,13	8,65	0,13	9,43	0,13	6,48	0,13	6,13	0,13	8,23	0,13	4,66	0,13	6,62	0,13	9,76	0,13	7,30	0,13	6,36	0,13	8,08	0,13	4,11	0,13	5,58	0,13	7,38	0,13	8,27	0,13	7,77	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	8,42	0,13	8,86	0,13	9,40	0,13	12,99	0,13	9,77	0,13	12,51	0,13	13,10	0,13	10,47	0,13	10,67	0,13	11,93	0,13	11,02
8,88	11,36	6,40	0,15	8,64	0,15	9,41	0,15	6,47	0,15	6,12	0,15	8,21	0,15	4,66	0,15	6,61	0,15	9,75	0,15	7,29	0,15	6,35	0,15	8,09	0,15	4,11	0,15	5,58	0,15	7,38	0,15	8,26	0,15	7,77	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	8,42	0,15	8,85	0,15	9,39	0,15	12,98	0,15	9,77	0,15	12,49	0,15	13,10	0,15	10,50	0,15	10,66	0,15	11,93	0,15	11,01
