Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
9,74	13,37	6,12	0,00	13,24	0,00	9,91	0,00	4,60	0,00	9,20	0,00	7,03	0,00	7,63	0,00	12,26	0,00	11,92	0,00	13,44	0,00	6,81	0,00	10,95	0,00	3,70	0,00	6,85	0,00	10,35	0,00	8,82	0,00	8,73	0,00	10,59	0,00	11,48	0,00	5,44	0,00	8,74	0,00	11,90	0,00	12,68	0,00	11,95	0,00	15,72	0,00	16,07	0,00	11,18	0,00	16,41	0,00	18,43	0,00	18,29	0,00	13,68	0,00	13,68
9,74	13,37	6,11	0,02	13,24	0,02	9,91	0,02	4,59	0,02	9,20	0,02	7,03	0,02	7,63	0,02	12,26	0,02	11,92	0,02	13,44	0,02	6,81	0,02	10,95	0,02	3,71	0,02	6,85	0,02	10,35	0,02	8,81	0,02	8,73	0,02	10,59	0,02	11,48	0,02	5,44	0,02	8,74	0,02	11,90	0,02	12,68	0,02	11,95	0,02	15,71	0,02	16,07	0,02	11,18	0,02	16,41	0,02	18,43	0,02	18,29	0,02	13,68	0,02	13,68
9,74	13,37	6,11	0,03	13,23	0,03	9,91	0,03	4,59	0,03	9,20	0,03	7,02	0,03	7,65	0,03	12,26	0,03	11,92	0,03	13,44	0,03	6,81	0,03	10,95	0,03	3,71	0,03	6,85	0,03	10,34	0,03	8,81	0,03	8,73	0,03	10,59	0,03	11,48	0,03	5,44	0,03	8,74	0,03	11,89	0,03	12,68	0,03	11,95	0,03	15,71	0,03	16,07	0,03	11,17	0,03	16,41	0,03	18,43	0,03	18,28	0,03	13,68	0,03	13,68
9,74	13,37	6,11	0,05	13,23	0,05	9,91	0,05	4,59	0,05	9,20	0,05	7,02	0,05	7,66	0,05	12,24	0,05	11,92	0,05	13,43	0,05	6,81	0,05	10,95	0,05	3,72	0,05	6,84	0,05	10,34	0,05	8,81	0,05	8,72	0,05	10,59	0,05	11,48	0,05	5,44	0,05	8,74	0,05	11,89	0,05	12,68	0,05	11,93	0,05	15,71	0,05	16,08	0,05	11,17	0,05	16,40	0,05	18,43	0,05	18,28	0,05	13,68	0,05	13,68
9,74	13,37	6,11	0,07	13,23	0,07	9,92	0,07	4,60	0,07	9,20	0,07	7,02	0,07	7,67	0,07	12,23	0,07	11,92	0,07	13,42	0,07	6,81	0,07	10,96	0,07	3,73	0,07	6,84	0,07	10,34	0,07	8,81	0,07	8,72	0,07	10,58	0,07	11,48	0,07	5,44	0,07	8,73	0,07	11,89	0,07	12,68	0,07	11,92	0,07	15,70	0,07	16,09	0,07	11,16	0,07	16,40	0,07	18,42	0,07	18,27	0,07	13,67	0,07	13,67
9,74	13,36	6,11	0,08	13,22	0,08	9,92	0,08	4,60	0,08	9,19	0,08	7,01	0,08	7,68	0,08	12,22	0,08	11,91	0,08	13,41	0,08	6,81	0,08	10,96	0,08	3,73	0,08	6,84	0,08	10,33	0,08	8,80	0,08	8,71	0,08	10,57	0,08	11,47	0,08	5,44	0,08	8,73	0,08	11,88	0,08	12,68	0,08	11,90	0,08	15,69	0,08	16,09	0,08	11,15	0,08	16,39	0,08	18,41	0,08	18,27	0,08	13,66	0,08	13,67
9,74	13,36	6,12	0,10	13,21	0,10	9,93	0,10	4,60	0,10	9,19	0,10	7,01	0,10	7,70	0,10	12,20	0,10	11,91	0,10	13,40	0,10	6,81	0,10	10,97	0,10	3,74	0,10	6,84	0,10	10,32	0,10	8,80	0,10	8,71	0,10	10,56	0,10	11,47	0,10	5,44	0,10	8,72	0,10	11,87	0,10	12,68	0,10	11,88	0,10	15,68	0,10	16,10	0,10	11,14	0,10	16,37	0,10	18,41	0,10	18,26	0,10	13,66	0,10	13,65
9,73	13,34	6,12	0,12	13,20	0,12	9,93	0,12	4,60	0,12	9,19	0,12	7,01	0,12	7,70	0,12	12,19	0,12	11,90	0,12	13,37	0,12	6,82	0,12	10,97	0,12	3,75	0,12	6,85	0,12	10,32	0,12	8,79	0,12	8,70	0,12	10,54	0,12	11,47	0,12	5,44	0,12	8,72	0,12	11,86	0,12	12,67	0,12	11,87	0,12	15,65	0,12	16,10	0,12	11,13	0,12	16,36	0,12	18,40	0,12	18,25	0,12	13,64	0,12	13,64
9,73	13,34	6,12	0,13	13,19	0,13	9,94	0,13	4,59	0,13	9,18	0,13	7,01	0,13	7,70	0,13	12,17	0,13	11,89	0,13	13,34	0,13	6,82	0,13	10,97	0,13	3,76	0,13	6,86	0,13	10,31	0,13	8,78	0,13	8,70	0,13	10,52	0,13	11,46	0,13	5,43	0,13	8,71	0,13	11,84	0,13	12,67	0,13	11,85	0,13	15,62	0,13	16,11	0,13	11,11	0,13	16,35	0,13	18,39	0,13	18,24	0,13	13,63	0,13	13,63
9,73	13,33	6,12	0,15	13,18	0,15	9,95	0,15	4,59	0,15	9,18	0,15	7,01	0,15	7,70	0,15	12,15	0,15	11,88	0,15	13,30	0,15	6,83	0,15	10,97	0,15	3,76	0,15	6,86	0,15	10,31	0,15	8,78	0,15	8,69	0,15	10,50	0,15	11,46	0,15	5,43	0,15	8,70	0,15	11,83	0,15	12,66	0,15	11,83	0,15	15,59	0,15	16,11	0,15	11,09	0,15	16,33	0,15	18,38	0,15	18,23	0,15	13,62	0,15	13,61
