Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
9,39	11,05	7,73	0,00	7,56	0,00	9,35	0,00	8,24	0,00	8,78	0,00	9,24	0,00	8,73	0,00	7,77	0,00	8,90	0,00	6,77	0,00	4,76	0,00	10,21	0,00	5,91	0,00	7,06	0,00	8,23	0,00	7,38	0,00	9,63	0,00	8,41	0,00	10,14	0,00	9,45	0,00	9,14	0,00	8,98	0,00	11,09	0,00	11,19	0,00	12,58	0,00	12,40	0,00	14,27	0,00	14,04	0,00	13,72	0,00	14,49	0,00	11,78	0,00	10,53
9,39	11,05	7,73	0,02	7,56	0,02	9,35	0,02	8,24	0,02	8,78	0,02	9,23	0,02	8,73	0,02	7,77	0,02	8,90	0,02	6,76	0,02	4,76	0,02	10,21	0,02	5,91	0,02	7,06	0,02	8,23	0,02	7,38	0,02	9,63	0,02	8,41	0,02	10,14	0,02	9,45	0,02	9,14	0,02	8,98	0,02	11,09	0,02	11,19	0,02	12,58	0,02	12,40	0,02	14,27	0,02	14,04	0,02	13,72	0,02	14,49	0,02	11,78	0,02	10,53
9,39	11,05	7,73	0,03	7,59	0,03	9,35	0,03	8,23	0,03	8,77	0,03	9,23	0,03	8,73	0,03	7,77	0,03	8,89	0,03	6,76	0,03	4,76	0,03	10,21	0,03	5,91	0,03	7,06	0,03	8,23	0,03	7,37	0,03	9,63	0,03	8,40	0,03	10,13	0,03	9,45	0,03	9,14	0,03	8,97	0,03	11,09	0,03	11,19	0,03	12,58	0,03	12,40	0,03	14,27	0,03	14,05	0,03	13,72	0,03	14,49	0,03	11,77	0,03	10,53
9,38	11,04	7,73	0,05	7,61	0,05	9,34	0,05	8,23	0,05	8,77	0,05	9,23	0,05	8,72	0,05	7,76	0,05	8,89	0,05	6,76	0,05	4,76	0,05	10,20	0,05	5,90	0,05	7,06	0,05	8,23	0,05	7,37	0,05	9,63	0,05	8,40	0,05	10,13	0,05	9,44	0,05	9,14	0,05	8,97	0,05	11,09	0,05	11,19	0,05	12,57	0,05	12,40	0,05	14,27	0,05	14,05	0,05	13,72	0,05	14,49	0,05	11,77	0,05	10,51
9,38	11,03	7,72	0,07	7,64	0,07	9,33	0,07	8,24	0,07	8,76	0,07	9,22	0,07	8,72	0,07	7,76	0,07	8,88	0,07	6,75	0,07	4,75	0,07	10,20	0,07	5,90	0,07	7,05	0,07	8,22	0,07	7,36	0,07	9,63	0,07	8,39	0,07	10,12	0,07	9,44	0,07	9,13	0,07	8,97	0,07	11,08	0,07	11,18	0,07	12,56	0,07	12,39	0,07	14,27	0,07	14,04	0,07	13,72	0,07	14,49	0,07	11,77	0,07	10,49
9,37	11,02	7,72	0,08	7,66	0,08	9,32	0,08	8,24	0,08	8,74	0,08	9,21	0,08	8,72	0,08	7,76	0,08	8,87	0,08	6,75	0,08	4,75	0,08	10,19	0,08	5,90	0,08	7,05	0,08	8,22	0,08	7,36	0,08	9,63	0,08	8,38	0,08	10,11	0,08	9,43	0,08	9,13	0,08	8,96	0,08	11,08	0,08	11,18	0,08	12,55	0,08	12,38	0,08	14,26	0,08	14,04	0,08	13,72	0,08	14,48	0,08	11,76	0,08	10,47
9,35	11,00	7,71	0,10	7,68	0,10	9,30	0,10	8,24	0,10	8,73	0,10	9,20	0,10	8,71	0,10	7,75	0,10	8,86	0,10	6,74	0,10	4,74	0,10	10,19	0,10	5,90	0,10	7,04	0,10	8,21	0,10	7,35	0,10	9,62	0,10	8,37	0,10	10,10	0,10	9,43	0,10	9,12	0,10	8,96	0,10	11,07	0,10	11,17	0,10	12,54	0,10	12,38	0,10	14,26	0,10	14,04	0,10	13,72	0,10	14,48	0,10	11,75	0,10	10,44
9,34	10,98	7,71	0,12	7,70	0,12	9,29	0,12	8,24	0,12	8,71	0,12	9,18	0,12	8,71	0,12	7,74	0,12	8,84	0,12	6,73	0,12	4,73	0,12	10,18	0,12	5,89	0,12	7,04	0,12	8,20	0,12	7,34	0,12	9,62	0,12	8,36	0,12	10,09	0,12	9,42	0,12	9,11	0,12	8,95	0,12	11,06	0,12	11,17	0,12	12,52	0,12	12,37	0,12	14,25	0,12	14,04	0,12	13,72	0,12	14,47	0,12	11,73	0,12	10,42
9,32	10,95	7,69	0,13	7,72	0,13	9,27	0,13	8,22	0,13	8,69	0,13	9,16	0,13	8,70	0,13	7,74	0,13	8,83	0,13	6,72	0,13	4,72	0,13	10,17	0,13	5,89	0,13	7,03	0,13	8,19	0,13	7,33	0,13	9,62	0,13	8,35	0,13	10,07	0,13	9,41	0,13	9,11	0,13	8,94	0,13	11,05	0,13	11,16	0,13	12,51	0,13	12,36	0,13	14,24	0,13	14,04	0,13	13,72	0,13	14,47	0,13	11,70	0,13	10,39
9,30	10,93	7,68	0,15	7,73	0,15	9,25	0,15	8,20	0,15	8,67	0,15	9,14	0,15	8,69	0,15	7,73	0,15	8,81	0,15	6,71	0,15	4,71	0,15	10,16	0,15	5,89	0,15	7,02	0,15	8,18	0,15	7,32	0,15	9,61	0,15	8,33	0,15	10,05	0,15	9,39	0,15	9,10	0,15	8,93	0,15	11,04	0,15	11,15	0,15	12,49	0,15	12,35	0,15	14,23	0,15	14,03	0,15	13,72	0,15	14,46	0,15	11,68	0,15	10,37
