Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
7,06	9,68	4,43	0,00	4,58	0,00	4,50	0,00	4,75	0,00	4,82	0,00	8,09	0,00	7,90	0,00	12,83	0,00	13,19	0,00	14,90	0,00	5,31	0,00	10,00	0,00	3,52	0,00	5,80	0,00	5,59	0,00	6,11	0,00	7,95	0,00	8,96	0,00	8,23	0,00	4,58	0,00	6,98	0,00	10,45	0,00	11,91	0,00	10,26	0,00	12,73	0,00	13,39	0,00	6,95	0,00	11,44	0,00	14,36	0,00	14,41	0,00	9,05	0,00	11,19
7,06	9,68	4,43	0,02	4,58	0,02	4,50	0,02	4,75	0,02	4,82	0,02	8,09	0,02	7,90	0,02	12,83	0,02	13,19	0,02	14,90	0,02	5,31	0,02	10,00	0,02	3,52	0,02	5,80	0,02	5,59	0,02	6,11	0,02	7,95	0,02	8,96	0,02	8,23	0,02	4,57	0,02	6,98	0,02	10,45	0,02	11,91	0,02	10,26	0,02	12,73	0,02	13,39	0,02	6,95	0,02	11,44	0,02	14,36	0,02	14,40	0,02	9,05	0,02	11,19
7,06	9,68	4,43	0,03	4,57	0,03	4,50	0,03	4,75	0,03	4,82	0,03	8,11	0,03	7,90	0,03	12,83	0,03	13,19	0,03	14,90	0,03	5,31	0,03	10,00	0,03	3,52	0,03	5,80	0,03	5,59	0,03	6,11	0,03	7,95	0,03	8,96	0,03	8,23	0,03	4,57	0,03	6,97	0,03	10,45	0,03	11,91	0,03	10,26	0,03	12,73	0,03	13,39	0,03	6,95	0,03	11,44	0,03	14,36	0,03	14,40	0,03	9,05	0,03	11,19
7,06	9,68	4,43	0,05	4,57	0,05	4,50	0,05	4,75	0,05	4,82	0,05	8,13	0,05	7,89	0,05	12,83	0,05	13,18	0,05	14,90	0,05	5,31	0,05	9,99	0,05	3,52	0,05	5,79	0,05	5,59	0,05	6,11	0,05	7,94	0,05	8,95	0,05	8,21	0,05	4,56	0,05	6,97	0,05	10,44	0,05	11,90	0,05	10,26	0,05	12,71	0,05	13,37	0,05	6,94	0,05	11,43	0,05	14,35	0,05	14,40	0,05	9,05	0,05	11,19
7,05	9,68	4,43	0,07	4,57	0,07	4,50	0,07	4,75	0,07	4,82	0,07	8,16	0,07	7,88	0,07	12,82	0,07	13,18	0,07	14,90	0,07	5,31	0,07	9,99	0,07	3,52	0,07	5,79	0,07	5,59	0,07	6,11	0,07	7,94	0,07	8,95	0,07	8,19	0,07	4,54	0,07	6,97	0,07	10,44	0,07	11,90	0,07	10,25	0,07	12,69	0,07	13,36	0,07	6,93	0,07	11,41	0,07	14,34	0,07	14,39	0,07	9,04	0,07	11,19
7,05	9,67	4,43	0,08	4,56	0,08	4,50	0,08	4,75	0,08	4,83	0,08	8,19	0,08	7,87	0,08	12,81	0,08	13,17	0,08	14,89	0,08	5,31	0,08	9,98	0,08	3,51	0,08	5,79	0,08	5,58	0,08	6,10	0,08	7,94	0,08	8,94	0,08	8,18	0,08	4,53	0,08	6,96	0,08	10,43	0,08	11,89	0,08	10,24	0,08	12,67	0,08	13,34	0,08	6,92	0,08	11,40	0,08	14,34	0,08	14,39	0,08	9,04	0,08	11,18
7,05	9,67	4,43	0,10	4,56	0,10	4,50	0,10	4,75	0,10	4,84	0,10	8,22	0,10	7,83	0,10	12,79	0,10	13,16	0,10	14,89	0,10	5,31	0,10	9,97	0,10	3,51	0,10	5,79	0,10	5,58	0,10	6,10	0,10	7,93	0,10	8,93	0,10	8,16	0,10	4,52	0,10	6,96	0,10	10,41	0,10	11,88	0,10	10,24	0,10	12,64	0,10	13,31	0,10	6,91	0,10	11,38	0,10	14,33	0,10	14,38	0,10	9,04	0,10	11,18
7,05	9,67	4,43	0,12	4,55	0,12	4,50	0,12	4,75	0,12	4,85	0,12	8,24	0,12	7,79	0,12	12,76	0,12	13,16	0,12	14,88	0,12	5,30	0,12	9,95	0,12	3,51	0,12	5,78	0,12	5,57	0,12	6,10	0,12	7,93	0,12	8,90	0,12	8,14	0,12	4,50	0,12	6,94	0,12	10,40	0,12	11,87	0,12	10,23	0,12	12,62	0,12	13,29	0,12	6,88	0,12	11,35	0,12	14,31	0,12	14,37	0,12	9,03	0,12	11,17
7,05	9,67	4,43	0,13	4,55	0,13	4,50	0,13	4,75	0,13	4,88	0,13	8,27	0,13	7,75	0,13	12,74	0,13	13,14	0,13	14,87	0,13	5,30	0,13	9,94	0,13	3,51	0,13	5,78	0,13	5,57	0,13	6,09	0,13	7,92	0,13	8,86	0,13	8,12	0,13	4,49	0,13	6,92	0,13	10,38	0,13	11,86	0,13	10,20	0,13	12,59	0,13	13,26	0,13	6,84	0,13	11,33	0,13	14,30	0,13	14,37	0,13	9,03	0,13	11,17
7,04	9,66	4,42	0,15	4,54	0,15	4,50	0,15	4,75	0,15	4,90	0,15	8,29	0,15	7,70	0,15	12,71	0,15	13,13	0,15	14,87	0,15	5,30	0,15	9,92	0,15	3,51	0,15	5,77	0,15	5,57	0,15	6,09	0,15	7,92	0,15	8,81	0,15	8,10	0,15	4,47	0,15	6,89	0,15	10,35	0,15	11,85	0,15	10,16	0,15	12,55	0,15	13,23	0,15	6,80	0,15	11,30	0,15	14,28	0,15	14,36	0,15	9,02	0,15	11,16
