Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
11,37	12,69	10,05	0,00	6,72	0,00	11,65	0,00	9,14	0,00	8,13	0,00	7,92	0,00	8,76	0,00	8,43	0,00	10,91	0,00	7,51	0,00	8,40	0,00	9,67	0,00	9,07	0,00	11,05	0,00	8,02	0,00	12,98	0,00	9,80	0,00	10,89	0,00	11,95	0,00	11,66	0,00	10,80	0,00	13,15	0,00	10,76	0,00	12,29	0,00	13,95	0,00	13,28	0,00	16,72	0,00	15,53	0,00	16,38	0,00	13,75	0,00	13,22	0,00	11,78
11,36	12,68	10,04	0,02	6,72	0,02	11,65	0,02	9,14	0,02	8,13	0,02	7,91	0,02	8,76	0,02	8,43	0,02	10,90	0,02	7,51	0,02	8,40	0,02	9,67	0,02	9,07	0,02	11,05	0,02	8,02	0,02	12,98	0,02	9,80	0,02	10,89	0,02	11,95	0,02	11,66	0,02	10,80	0,02	13,15	0,02	10,76	0,02	12,29	0,02	13,95	0,02	13,28	0,02	16,72	0,02	15,53	0,02	16,37	0,02	13,75	0,02	13,21	0,02	11,77
11,36	12,68	10,04	0,03	6,72	0,03	11,64	0,03	9,14	0,03	8,13	0,03	7,91	0,03	8,76	0,03	8,43	0,03	10,90	0,03	7,51	0,03	8,39	0,03	9,66	0,03	9,07	0,03	11,05	0,03	8,02	0,03	12,98	0,03	9,80	0,03	10,88	0,03	11,95	0,03	11,65	0,03	10,80	0,03	13,14	0,03	10,76	0,03	12,29	0,03	13,95	0,03	13,28	0,03	16,72	0,03	15,53	0,03	16,37	0,03	13,75	0,03	13,21	0,03	11,77
11,36	12,68	10,04	0,05	6,72	0,05	11,64	0,05	9,14	0,05	8,13	0,05	7,91	0,05	8,77	0,05	8,42	0,05	10,89	0,05	7,50	0,05	8,38	0,05	9,66	0,05	9,07	0,05	11,04	0,05	8,02	0,05	12,97	0,05	9,80	0,05	10,88	0,05	11,94	0,05	11,64	0,05	10,80	0,05	13,14	0,05	10,76	0,05	12,29	0,05	13,94	0,05	13,28	0,05	16,72	0,05	15,53	0,05	16,37	0,05	13,75	0,05	13,21	0,05	11,77
11,35	12,67	10,04	0,07	6,72	0,07	11,63	0,07	9,14	0,07	8,13	0,07	7,90	0,07	8,77	0,07	8,42	0,07	10,89	0,07	7,49	0,07	8,36	0,07	9,66	0,07	9,07	0,07	11,04	0,07	8,02	0,07	12,96	0,07	9,79	0,07	10,87	0,07	11,94	0,07	11,63	0,07	10,80	0,07	13,14	0,07	10,75	0,07	12,28	0,07	13,94	0,07	13,28	0,07	16,72	0,07	15,54	0,07	16,36	0,07	13,74	0,07	13,20	0,07	11,76
11,35	12,66	10,03	0,08	6,71	0,08	11,62	0,08	9,14	0,08	8,13	0,08	7,89	0,08	8,77	0,08	8,41	0,08	10,88	0,08	7,48	0,08	8,35	0,08	9,66	0,08	9,07	0,08	11,03	0,08	8,01	0,08	12,95	0,08	9,79	0,08	10,86	0,08	11,93	0,08	11,62	0,08	10,80	0,08	13,13	0,08	10,75	0,08	12,28	0,08	13,93	0,08	13,28	0,08	16,72	0,08	15,54	0,08	16,35	0,08	13,74	0,08	13,20	0,08	11,75
11,34	12,65	10,03	0,10	6,71	0,10	11,61	0,10	9,15	0,10	8,13	0,10	7,88	0,10	8,77	0,10	8,41	0,10	10,86	0,10	7,47	0,10	8,33	0,10	9,65	0,10	9,07	0,10	11,02	0,10	8,01	0,10	12,94	0,10	9,78	0,10	10,85	0,10	11,92	0,10	11,61	0,10	10,79	0,10	13,13	0,10	10,74	0,10	12,28	0,10	13,92	0,10	13,29	0,10	16,72	0,10	15,54	0,10	16,34	0,10	13,73	0,10	13,19	0,10	11,74
11,33	12,64	10,03	0,12	6,70	0,12	11,59	0,12	9,15	0,12	8,13	0,12	7,86	0,12	8,77	0,12	8,40	0,12	10,85	0,12	7,46	0,12	8,31	0,12	9,64	0,12	9,07	0,12	11,02	0,12	8,01	0,12	12,92	0,12	9,78	0,12	10,83	0,12	11,91	0,12	11,60	0,12	10,79	0,12	13,13	0,12	10,74	0,12	12,27	0,12	13,91	0,12	13,29	0,12	16,72	0,12	15,55	0,12	16,32	0,12	13,73	0,12	13,18	0,12	11,73
11,33	12,63	10,03	0,13	6,69	0,13	11,58	0,13	9,15	0,13	8,12	0,13	7,84	0,13	8,78	0,13	8,39	0,13	10,83	0,13	7,45	0,13	8,30	0,13	9,64	0,13	9,07	0,13	11,01	0,13	8,00	0,13	12,90	0,13	9,77	0,13	10,82	0,13	11,90	0,13	11,59	0,13	10,79	0,13	13,12	0,13	10,73	0,13	12,27	0,13	13,91	0,13	13,29	0,13	16,71	0,13	15,55	0,13	16,31	0,13	13,72	0,13	13,17	0,13	11,72
11,31	12,61	10,02	0,15	6,69	0,15	11,56	0,15	9,15	0,15	8,12	0,15	7,82	0,15	8,78	0,15	8,38	0,15	10,81	0,15	7,43	0,15	8,28	0,15	9,63	0,15	9,07	0,15	10,99	0,15	7,99	0,15	12,88	0,15	9,76	0,15	10,79	0,15	11,89	0,15	11,57	0,15	10,79	0,15	13,11	0,15	10,72	0,15	12,26	0,15	13,91	0,15	13,29	0,15	16,71	0,15	15,56	0,15	16,29	0,15	13,70	0,15	13,16	0,15	11,71
11,30	12,59	10,01	0,17	6,68	0,17	11,53	0,17	9,16	0,17	8,12	0,17	7,80	0,17	8,78	0,17	8,37	0,17	10,78	0,17	7,41	0,17	8,26	0,17	9,62	0,17	9,07	0,17	10,98	0,17	7,99	0,17	12,86	0,17	9,74	0,17	10,77	0,17	11,88	0,17	11,55	0,17	10,78	0,17	13,11	0,17	10,71	0,17	12,26	0,17	13,90	0,17	13,29	0,17	16,70	0,17	15,56	0,17	16,28	0,17	13,68	0,17	13,15	0,17	11,69
11,29	12,57	10,01	0,18	6,67	0,18	11,51	0,18	9,16	0,18	8,11	0,18	7,78	0,18	8,78	0,18	8,36	0,18	10,76	0,18	7,39	0,18	8,23	0,18	9,61	0,18	9,07	0,18	10,97	0,18	7,98	0,18	12,84	0,18	9,73	0,18	10,74	0,18	11,87	0,18	11,54	0,18	10,78	0,18	13,10	0,18	10,70	0,18	12,25	0,18	13,89	0,18	13,29	0,18	16,69	0,18	15,56	0,18	16,27	0,18	13,67	0,18	13,13	0,18	11,68
11,27	12,55	10,00	0,20	6,65	0,20	11,48	0,20	9,16	0,20	8,10	0,20	7,75	0,20	8,79	0,20	8,35	0,20	10,73	0,20	7,37	0,20	8,21	0,20	9,61	0,20	9,07	0,20	10,95	0,20	7,97	0,20	12,81	0,20	9,72	0,20	10,72	0,20	11,86	0,20	11,52	0,20	10,77	0,20	13,09	0,20	10,69	0,20	12,24	0,20	13,89	0,20	13,29	0,20	16,68	0,20	15,57	0,20	16,25	0,20	13,64	0,20	13,12	0,20	11,66
11,26	12,53	9,98	0,22	6,64	0,22	11,45	0,22	9,16	0,22	8,09	0,22	7,72	0,22	8,79	0,22	8,33	0,22	10,70	0,22	7,35	0,22	8,19	0,22	9,60	0,22	9,07	0,22	10,92	0,22	7,96	0,22	12,78	0,22	9,70	0,22	10,69	0,22	11,84	0,22	11,50	0,22	10,77	0,22	13,08	0,22	10,68	0,22	12,24	0,22	13,88	0,22	13,28	0,22	16,67	0,22	15,57	0,22	16,23	0,22	13,62	0,22	13,10	0,22	11,65
11,23	12,50	9,97	0,23	6,62	0,23	11,41	0,23	9,16	0,23	8,08	0,23	7,69	0,23	8,79	0,23	8,32	0,23	10,67	0,23	7,32	0,23	8,16	0,23	9,59	0,23	9,07	0,23	10,89	0,23	7,95	0,23	12,74	0,23	9,68	0,23	10,65	0,23	11,83	0,23	11,48	0,23	10,76	0,23	13,07	0,23	10,67	0,23	12,24	0,23	13,87	0,23	13,28	0,23	16,66	0,23	15,58	0,23	16,21	0,23	13,60	0,23	13,08	0,23	11,63
11,21	12,48	9,95	0,25	6,60	0,25	11,38	0,25	9,15	0,25	8,07	0,25	7,66	0,25	8,80	0,25	8,29	0,25	10,63	0,25	7,30	0,25	8,14	0,25	9,57	0,25	9,07	0,25	10,86	0,25	7,94	0,25	12,71	0,25	9,65	0,25	10,62	0,25	11,81	0,25	11,46	0,25	10,75	0,25	13,06	0,25	10,65	0,25	12,24	0,25	13,85	0,25	13,28	0,25	16,65	0,25	15,58	0,25	16,19	0,25	13,57	0,25	13,06	0,25	11,61
11,19	12,45	9,93	0,27	6,58	0,27	11,34	0,27	9,15	0,27	8,06	0,27	7,63	0,27	8,80	0,27	8,27	0,27	10,60	0,27	7,27	0,27	8,11	0,27	9,56	0,27	9,07	0,27	10,83	0,27	7,93	0,27	12,67	0,27	9,63	0,27	10,58	0,27	11,80	0,27	11,44	0,27	10,74	0,27	13,05	0,27	10,64	0,27	12,23	0,27	13,84	0,27	13,28	0,27	16,63	0,27	15,59	0,27	16,17	0,27	13,55	0,27	13,04	0,27	11,59
