Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
10,78	11,99	9,58	0,00	6,11	0,00	10,45	0,00	8,85	0,00	6,96	0,00	7,75	0,00	7,53	0,00	8,52	0,00	11,02	0,00	7,47	0,00	9,28	0,00	9,35	0,00	6,62	0,00	10,85	0,00	8,45	0,00	12,07	0,00	10,72	0,00	11,64	0,00	11,74	0,00	10,17	0,00	9,85	0,00	11,73	0,00	10,07	0,00	11,60	0,00	13,97	0,00	12,70	0,00	15,63	0,00	17,05	0,00	16,41	0,00	14,78	0,00	12,60	0,00	11,17
10,78	11,99	9,58	0,02	6,11	0,02	10,45	0,02	8,85	0,02	6,96	0,02	7,75	0,02	7,53	0,02	8,52	0,02	11,01	0,02	7,46	0,02	9,28	0,02	9,35	0,02	6,62	0,02	10,85	0,02	8,45	0,02	12,07	0,02	10,72	0,02	11,64	0,02	11,74	0,02	10,17	0,02	9,85	0,02	11,73	0,02	10,07	0,02	11,60	0,02	13,96	0,02	12,70	0,02	15,63	0,02	17,05	0,02	16,41	0,02	14,78	0,02	12,60	0,02	11,17
10,78	11,99	9,58	0,03	6,11	0,03	10,45	0,03	8,85	0,03	6,96	0,03	7,75	0,03	7,53	0,03	8,51	0,03	11,01	0,03	7,45	0,03	9,28	0,03	9,35	0,03	6,62	0,03	10,85	0,03	8,45	0,03	12,07	0,03	10,72	0,03	11,63	0,03	11,73	0,03	10,17	0,03	9,85	0,03	11,73	0,03	10,07	0,03	11,60	0,03	13,96	0,03	12,70	0,03	15,64	0,03	17,05	0,03	16,41	0,03	14,78	0,03	12,59	0,03	11,17
10,78	11,99	9,57	0,05	6,11	0,05	10,45	0,05	8,84	0,05	6,95	0,05	7,74	0,05	7,53	0,05	8,51	0,05	11,00	0,05	7,44	0,05	9,28	0,05	9,35	0,05	6,62	0,05	10,85	0,05	8,45	0,05	12,06	0,05	10,72	0,05	11,63	0,05	11,73	0,05	10,17	0,05	9,85	0,05	11,72	0,05	10,07	0,05	11,59	0,05	13,96	0,05	12,70	0,05	15,64	0,05	17,05	0,05	16,41	0,05	14,78	0,05	12,59	0,05	11,16
10,78	11,99	9,57	0,07	6,10	0,07	10,45	0,07	8,84	0,07	6,95	0,07	7,73	0,07	7,54	0,07	8,50	0,07	10,99	0,07	7,43	0,07	9,27	0,07	9,35	0,07	6,61	0,07	10,85	0,07	8,44	0,07	12,05	0,07	10,72	0,07	11,62	0,07	11,73	0,07	10,16	0,07	9,85	0,07	11,72	0,07	10,07	0,07	11,59	0,07	13,95	0,07	12,70	0,07	15,64	0,07	17,05	0,07	16,41	0,07	14,77	0,07	12,59	0,07	11,16
10,77	11,97	9,57	0,08	6,09	0,08	10,44	0,08	8,84	0,08	6,95	0,08	7,73	0,08	7,54	0,08	8,50	0,08	10,97	0,08	7,42	0,08	9,25	0,08	9,35	0,08	6,61	0,08	10,84	0,08	8,44	0,08	12,04	0,08	10,71	0,08	11,61	0,08	11,72	0,08	10,15	0,08	9,85	0,08	11,72	0,08	10,06	0,08	11,59	0,08	13,94	0,08	12,71	0,08	15,64	0,08	17,05	0,08	16,40	0,08	14,76	0,08	12,58	0,08	11,15
10,77	11,97	9,56	0,10	6,09	0,10	10,44	0,10	8,83	0,10	6,95	0,10	7,72	0,10	7,54	0,10	8,49	0,10	10,95	0,10	7,40	0,10	9,23	0,10	9,35	0,10	6,61	0,10	10,84	0,10	8,44	0,10	12,03	0,10	10,71	0,10	11,60	0,10	11,72	0,10	10,13	0,10	9,85	0,10	11,72	0,10	10,06	0,10	11,58	0,10	13,93	0,10	12,71	0,10	15,64	0,10	17,06	0,10	16,40	0,10	14,74	0,10	12,57	0,10	11,15
10,76	11,96	9,55	0,12	6,08	0,12	10,43	0,12	8,82	0,12	6,94	0,12	7,71	0,12	7,54	0,12	8,48	0,12	10,93	0,12	7,39	0,12	9,21	0,12	9,35	0,12	6,60	0,12	10,83	0,12	8,43	0,12	12,01	0,12	10,70	0,12	11,58	0,12	11,71	0,12	10,12	0,12	9,85	0,12	11,71	0,12	10,06	0,12	11,58	0,12	13,92	0,12	12,71	0,12	15,64	0,12	17,07	0,12	16,39	0,12	14,73	0,12	12,56	0,12	11,14
10,75	11,95	9,55	0,13	6,06	0,13	10,43	0,13	8,83	0,13	6,94	0,13	7,70	0,13	7,54	0,13	8,47	0,13	10,90	0,13	7,37	0,13	9,18	0,13	9,35	0,13	6,60	0,13	10,82	0,13	8,43	0,13	11,99	0,13	10,70	0,13	11,56	0,13	11,71	0,13	10,11	0,13	9,85	0,13	11,71	0,13	10,05	0,13	11,57	0,13	13,90	0,13	12,71	0,13	15,64	0,13	17,07	0,13	16,39	0,13	14,71	0,13	12,55	0,13	11,13
10,74	11,93	9,55	0,15	6,05	0,15	10,42	0,15	8,83	0,15	6,93	0,15	7,69	0,15	7,54	0,15	8,45	0,15	10,87	0,15	7,35	0,15	9,15	0,15	9,34	0,15	6,60	0,15	10,81	0,15	8,42	0,15	11,97	0,15	10,69	0,15	11,54	0,15	11,70	0,15	10,10	0,15	9,85	0,15	11,70	0,15	10,05	0,15	11,56	0,15	13,90	0,15	12,72	0,15	15,63	0,15	17,08	0,15	16,38	0,15	14,69	0,15	12,53	0,15	11,12
