Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
14,35	18,10	10,60	0,00	14,98	0,00	14,46	0,00	10,37	0,00	15,73	0,00	-999,0	0,00	15,43	0,00	10,31	0,00	8,94	0,00	13,21	0,00	6,64	0,00	14,16	0,00	9,21	0,00	10,02	0,00	13,21	0,00	-999,0	0,00	13,64	0,00	14,90	0,00	15,60	0,00	12,29	0,00	9,73	0,00	13,49	0,00	-999,0	0,00	-999,0	0,00	15,15	0,00	20,16	0,00	17,41	0,00	17,73	0,00	18,87	0,00	19,41	0,00	19,47	0,00	17,44
14,35	18,10	10,60	0,02	14,98	0,02	14,46	0,02	10,37	0,02	15,72	0,02	-999,0	0,02	15,43	0,02	10,31	0,02	8,93	0,02	13,21	0,02	6,64	0,02	14,16	0,02	9,21	0,02	10,02	0,02	13,20	0,02	-999,0	0,02	13,64	0,02	14,89	0,02	15,60	0,02	12,29	0,02	9,73	0,02	13,49	0,02	-999,0	0,02	-999,0	0,02	15,16	0,02	20,16	0,02	17,41	0,02	17,73	0,02	18,87	0,02	19,41	0,02	19,47	0,02	17,44
14,35	18,10	10,60	0,03	14,97	0,03	14,46	0,03	10,36	0,03	15,70	0,03	-999,0	0,03	15,43	0,03	10,31	0,03	8,93	0,03	13,21	0,03	6,64	0,03	14,15	0,03	9,21	0,03	10,02	0,03	13,20	0,03	-999,0	0,03	13,64	0,03	14,89	0,03	15,60	0,03	12,28	0,03	9,73	0,03	13,48	0,03	-999,0	0,03	-999,0	0,03	15,16	0,03	20,15	0,03	17,41	0,03	17,73	0,03	18,86	0,03	19,41	0,03	19,47	0,03	17,43
14,34	18,09	10,59	0,05	14,97	0,05	14,45	0,05	10,36	0,05	15,69	0,05	-999,0	0,05	15,43	0,05	10,31	0,05	8,93	0,05	13,20	0,05	6,64	0,05	14,14	0,05	9,21	0,05	10,02	0,05	13,20	0,05	-999,0	0,05	13,63	0,05	14,88	0,05	15,59	0,05	12,28	0,05	9,72	0,05	13,48	0,05	-999,0	0,05	-999,0	0,05	15,17	0,05	20,15	0,05	17,40	0,05	17,72	0,05	18,86	0,05	19,41	0,05	19,46	0,05	17,43
14,34	18,09	10,59	0,07	14,96	0,07	14,44	0,07	10,35	0,07	15,67	0,07	-999,0	0,07	15,43	0,07	10,30	0,07	8,92	0,07	13,20	0,07	6,64	0,07	14,13	0,07	9,20	0,07	10,01	0,07	13,19	0,07	-999,0	0,07	13,63	0,07	14,88	0,07	15,57	0,07	12,27	0,07	9,72	0,07	13,47	0,07	-999,0	0,07	-999,0	0,07	15,17	0,07	20,14	0,07	17,39	0,07	17,71	0,07	18,86	0,07	19,41	0,07	19,45	0,07	17,43
14,33	18,08	10,58	0,08	14,92	0,08	14,43	0,08	10,34	0,08	15,65	0,08	-999,0	0,08	15,43	0,08	10,29	0,08	8,91	0,08	13,19	0,08	6,63	0,08	14,12	0,08	9,20	0,08	10,01	0,08	13,19	0,08	-999,0	0,08	13,62	0,08	14,87	0,08	15,56	0,08	12,26	0,08	9,71	0,08	13,47	0,08	-999,0	0,08	-999,0	0,08	15,16	0,08	20,15	0,08	17,38	0,08	17,69	0,08	18,86	0,08	19,40	0,08	19,44	0,08	17,42
14,32	18,07	10,58	0,10	14,89	0,10	14,42	0,10	10,34	0,10	15,63	0,10	-999,0	0,10	15,43	0,10	10,29	0,10	8,90	0,10	13,18	0,10	6,62	0,10	14,10	0,10	9,20	0,10	10,01	0,10	13,18	0,10	-999,0	0,10	13,61	0,10	14,85	0,10	15,54	0,10	12,25	0,10	9,70	0,10	13,46	0,10	-999,0	0,10	-999,0	0,10	15,16	0,10	20,16	0,10	17,37	0,10	17,68	0,10	18,85	0,10	19,40	0,10	19,43	0,10	17,41
14,31	18,05	10,57	0,12	14,87	0,12	14,41	0,12	10,34	0,12	15,61	0,12	-999,0	0,12	15,43	0,12	10,28	0,12	8,89	0,12	13,17	0,12	6,62	0,12	14,08	0,12	9,19	0,12	10,00	0,12	13,17	0,12	-999,0	0,12	13,59	0,12	14,84	0,12	15,51	0,12	12,24	0,12	9,69	0,12	13,45	0,12	-999,0	0,12	-999,0	0,12	15,15	0,12	20,14	0,12	17,35	0,12	17,66	0,12	18,83	0,12	19,39	0,12	19,41	0,12	17,40
14,29	18,02	10,56	0,13	14,85	0,13	14,39	0,13	10,33	0,13	15,58	0,13	-999,0	0,13	15,43	0,13	10,27	0,13	8,87	0,13	13,15	0,13	6,61	0,13	14,06	0,13	9,19	0,13	9,99	0,13	13,15	0,13	-999,0	0,13	13,58	0,13	14,82	0,13	15,48	0,13	12,22	0,13	9,68	0,13	13,44	0,13	-999,0	0,13	-999,0	0,13	15,14	0,13	20,11	0,13	17,34	0,13	17,64	0,13	18,82	0,13	19,39	0,13	19,39	0,13	17,36
14,27	18,00	10,55	0,15	14,83	0,15	14,37	0,15	10,32	0,15	15,56	0,15	-999,0	0,15	15,42	0,15	10,26	0,15	8,85	0,15	13,14	0,15	6,60	0,15	14,03	0,15	9,18	0,15	9,98	0,15	13,14	0,15	-999,0	0,15	13,56	0,15	14,81	0,15	15,45	0,15	12,21	0,15	9,67	0,15	13,42	0,15	-999,0	0,15	-999,0	0,15	15,12	0,15	20,09	0,15	17,33	0,15	17,62	0,15	18,80	0,15	19,38	0,15	19,37	0,15	17,32
