Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
8,18	11,23	5,13	0,00	7,82	0,00	7,41	0,00	4,99	0,00	6,49	0,00	9,54	0,00	4,46	0,00	7,08	0,00	8,50	0,00	7,69	0,00	6,09	0,00	7,25	0,00	4,40	0,00	5,08	0,00	6,96	0,00	7,34	0,00	8,07	0,00	5,73	0,00	10,56	0,00	7,54	0,00	8,93	0,00	8,61	0,00	8,63	0,00	10,48	0,00	9,90	0,00	10,10	0,00	10,84	0,00	13,07	0,00	8,35	0,00	9,69	0,00	10,93	0,00	12,48
8,18	11,23	5,13	0,02	7,82	0,02	7,41	0,02	4,99	0,02	6,49	0,02	9,54	0,02	4,46	0,02	7,08	0,02	8,50	0,02	7,69	0,02	6,09	0,02	7,25	0,02	4,40	0,02	5,08	0,02	6,95	0,02	7,34	0,02	8,07	0,02	5,73	0,02	10,56	0,02	7,54	0,02	8,93	0,02	8,60	0,02	8,63	0,02	10,48	0,02	9,90	0,02	10,10	0,02	10,84	0,02	13,07	0,02	8,35	0,02	9,69	0,02	10,93	0,02	12,48
8,18	11,24	5,13	0,03	7,80	0,03	7,41	0,03	4,99	0,03	6,49	0,03	9,54	0,03	4,46	0,03	7,07	0,03	8,49	0,03	7,69	0,03	6,09	0,03	7,25	0,03	4,40	0,03	5,08	0,03	6,95	0,03	7,34	0,03	8,07	0,03	5,73	0,03	10,56	0,03	7,54	0,03	8,93	0,03	8,60	0,03	8,63	0,03	10,48	0,03	9,90	0,03	10,10	0,03	10,84	0,03	13,07	0,03	8,35	0,03	9,67	0,03	10,94	0,03	12,50
8,19	11,25	5,12	0,05	7,79	0,05	7,41	0,05	4,99	0,05	6,49	0,05	9,53	0,05	4,46	0,05	7,07	0,05	8,49	0,05	7,69	0,05	6,08	0,05	7,25	0,05	4,39	0,05	5,07	0,05	6,95	0,05	7,34	0,05	8,07	0,05	5,72	0,05	10,55	0,05	7,54	0,05	8,93	0,05	8,60	0,05	8,63	0,05	10,48	0,05	9,90	0,05	10,10	0,05	10,83	0,05	13,07	0,05	8,36	0,05	9,65	0,05	10,95	0,05	12,51
8,19	11,26	5,12	0,07	7,77	0,07	7,41	0,07	4,98	0,07	6,49	0,07	9,53	0,07	4,46	0,07	7,06	0,07	8,48	0,07	7,69	0,07	6,08	0,07	7,25	0,07	4,39	0,07	5,07	0,07	6,94	0,07	7,33	0,07	8,07	0,07	5,72	0,07	10,54	0,07	7,53	0,07	8,92	0,07	8,59	0,07	8,62	0,07	10,47	0,07	9,89	0,07	10,10	0,07	10,82	0,07	13,07	0,07	8,34	0,07	9,62	0,07	10,95	0,07	12,53
8,19	11,26	5,12	0,08	7,75	0,08	7,41	0,08	4,98	0,08	6,48	0,08	9,52	0,08	4,46	0,08	7,06	0,08	8,47	0,08	7,69	0,08	6,08	0,08	7,24	0,08	4,39	0,08	5,07	0,08	6,94	0,08	7,33	0,08	8,07	0,08	5,71	0,08	10,53	0,08	7,53	0,08	8,92	0,08	8,58	0,08	8,62	0,08	10,46	0,08	9,89	0,08	10,10	0,08	10,81	0,08	13,06	0,08	8,33	0,08	9,61	0,08	10,95	0,08	12,54
8,19	11,27	5,11	0,10	7,73	0,10	7,40	0,10	4,98	0,10	6,48	0,10	9,51	0,10	4,46	0,10	7,05	0,10	8,46	0,10	7,68	0,10	6,07	0,10	7,24	0,10	4,38	0,10	5,06	0,10	6,93	0,10	7,33	0,10	8,07	0,10	5,71	0,10	10,52	0,10	7,53	0,10	8,91	0,10	8,56	0,10	8,62	0,10	10,46	0,10	9,88	0,10	10,09	0,10	10,80	0,10	13,06	0,10	8,32	0,10	9,60	0,10	10,96	0,10	12,56
8,20	11,29	5,11	0,12	7,71	0,12	7,39	0,12	4,98	0,12	6,48	0,12	9,50	0,12	4,46	0,12	7,04	0,12	8,44	0,12	7,68	0,12	6,07	0,12	7,24	0,12	4,38	0,12	5,06	0,12	6,92	0,12	7,32	0,12	8,07	0,12	5,70	0,12	10,50	0,12	7,52	0,12	8,90	0,12	8,55	0,12	8,61	0,12	10,45	0,12	9,87	0,12	10,09	0,12	10,79	0,12	13,05	0,12	8,31	0,12	9,59	0,12	10,97	0,12	12,58
8,20	11,30	5,09	0,13	7,68	0,13	7,38	0,13	4,97	0,13	6,47	0,13	9,48	0,13	4,46	0,13	7,03	0,13	8,42	0,13	7,67	0,13	6,06	0,13	7,23	0,13	4,37	0,13	5,05	0,13	6,91	0,13	7,32	0,13	8,07	0,13	5,69	0,13	10,48	0,13	7,52	0,13	8,90	0,13	8,53	0,13	8,60	0,13	10,45	0,13	9,86	0,13	10,08	0,13	10,77	0,13	13,03	0,13	8,30	0,13	9,58	0,13	10,98	0,13	12,60
8,20	11,31	5,09	0,15	7,65	0,15	7,37	0,15	4,97	0,15	6,47	0,15	9,47	0,15	4,46	0,15	7,01	0,15	8,41	0,15	7,67	0,15	6,05	0,15	7,23	0,15	4,36	0,15	5,05	0,15	6,90	0,15	7,31	0,15	8,07	0,15	5,68	0,15	10,46	0,15	7,51	0,15	8,89	0,15	8,52	0,15	8,60	0,15	10,45	0,15	9,85	0,15	10,08	0,15	10,75	0,15	13,02	0,15	8,32	0,15	9,56	0,15	10,99	0,15	12,62
