Média	Med+Des	Med-Des	Hora	Tec 1	Hora	Tec 2	Hora	Tec 3	Hora	Tec 4	Hora	Tec 5	Hora	Tec 6	Hora	Tec 7	Hora	Tec 8	Hora	Tec 9	Hora	Tec 10	Hora	Tec 11	Hora	Tec 12	Hora	Tec 13	Hora	Tec 14	Hora	Tec 15	Hora	Tec 16	Hora	Tec 17	Hora	Tec 18	Hora	Tec 19	Hora	Tec 20	Hora	Tec 21	Hora	Tec 22	Hora	Tec 23	Hora	Tec 24	Hora	Tec 25	Hora	Tec 26	Hora	Tec 27	Hora	Tec 28	Hora	Tec 29	Hora	Tec 30	Hora	Tec 31
5,05	5,78	4,31	0,00	6,34	0,00	5,65	0,00	4,01	0,00	6,96	0,00	4,18	0,00	19,78	0,00	5,63	0,00	4,33	0,00	10,69	0,00	4,85	0,00	6,68	0,00	4,20	0,00	5,48	0,00	6,02	0,00	5,33	0,00	5,70	0,00	5,02	0,00	6,36	0,00	4,10	0,00	4,87	0,00	5,24	0,00	6,62	0,00	-999,0	0,00	-999,0	0,00	7,43	0,00	-999,0	0,00	-999,0	0,00	8,34	0,00	-999,0	0,00	-999,0	0,00	-999,0
5,05	5,78	4,31	0,02	6,34	0,02	5,65	0,02	4,01	0,02	6,96	0,02	4,18	0,02	19,77	0,02	5,63	0,02	4,33	0,02	10,69	0,02	4,85	0,02	6,68	0,02	4,20	0,02	5,48	0,02	6,02	0,02	5,33	0,02	5,70	0,02	5,02	0,02	6,36	0,02	4,10	0,02	4,87	0,02	5,24	0,02	6,62	0,02	-999,0	0,02	-999,0	0,02	7,43	0,02	-999,0	0,02	-999,0	0,02	8,33	0,02	-999,0	0,02	-999,0	0,02	-999,0
5,05	5,78	4,31	0,03	6,34	0,03	5,65	0,03	4,01	0,03	6,96	0,03	4,17	0,03	19,76	0,03	5,63	0,03	4,33	0,03	10,69	0,03	4,85	0,03	6,69	0,03	4,20	0,03	5,48	0,03	6,02	0,03	5,33	0,03	5,70	0,03	5,02	0,03	6,36	0,03	4,10	0,03	4,87	0,03	5,24	0,03	6,63	0,03	-999,0	0,03	-999,0	0,03	7,43	0,03	-999,0	0,03	-999,0	0,03	8,33	0,03	-999,0	0,03	-999,0	0,03	-999,0
5,05	5,78	4,31	0,05	6,33	0,05	5,65	0,05	4,01	0,05	6,96	0,05	4,17	0,05	19,75	0,05	5,64	0,05	4,33	0,05	10,69	0,05	4,84	0,05	6,70	0,05	4,20	0,05	5,48	0,05	6,03	0,05	5,33	0,05	5,69	0,05	5,00	0,05	6,34	0,05	4,10	0,05	4,87	0,05	5,24	0,05	6,63	0,05	-999,0	0,05	-999,0	0,05	7,41	0,05	-999,0	0,05	-999,0	0,05	8,33	0,05	-999,0	0,05	-999,0	0,05	-999,0
5,04	5,78	4,31	0,07	6,33	0,07	5,65	0,07	4,01	0,07	6,96	0,07	4,17	0,07	19,72	0,07	5,64	0,07	4,33	0,07	10,69	0,07	4,84	0,07	6,71	0,07	4,20	0,07	5,47	0,07	6,03	0,07	5,32	0,07	5,69	0,07	4,99	0,07	6,33	0,07	4,10	0,07	4,86	0,07	5,24	0,07	6,63	0,07	-999,0	0,07	-999,0	0,07	7,39	0,07	-999,0	0,07	-999,0	0,07	8,33	0,07	-999,0	0,07	-999,0	0,07	-999,0
5,04	5,78	4,31	0,08	6,33	0,08	5,65	0,08	4,01	0,08	6,95	0,08	4,17	0,08	19,69	0,08	5,65	0,08	4,33	0,08	10,69	0,08	4,84	0,08	6,72	0,08	4,21	0,08	5,47	0,08	6,04	0,08	5,32	0,08	5,68	0,08	4,97	0,08	6,31	0,08	4,09	0,08	4,86	0,08	5,24	0,08	6,63	0,08	-999,0	0,08	-999,0	0,08	7,36	0,08	-999,0	0,08	-999,0	0,08	8,32	0,08	-999,0	0,08	-999,0	0,08	-999,0
5,04	5,78	4,30	0,10	6,33	0,10	5,65	0,10	4,00	0,10	6,95	0,10	4,16	0,10	19,65	0,10	5,66	0,10	4,33	0,10	10,69	0,10	4,84	0,10	6,73	0,10	4,21	0,10	5,47	0,10	6,04	0,10	5,32	0,10	5,67	0,10	4,96	0,10	6,29	0,10	4,09	0,10	4,86	0,10	5,24	0,10	-999,0	0,10	-999,0	0,10	-999,0	0,10	7,34	0,10	-999,0	0,10	-999,0	0,10	8,32	0,10	-999,0	0,10	-999,0	0,10	-999,0
5,04	5,78	4,30	0,12	6,33	0,12	5,65	0,12	4,00	0,12	6,95	0,12	4,16	0,12	19,61	0,12	5,67	0,12	4,33	0,12	10,69	0,12	4,84	0,12	6,74	0,12	4,21	0,12	5,47	0,12	6,05	0,12	5,32	0,12	5,66	0,12	4,94	0,12	6,27	0,12	4,08	0,12	4,86	0,12	5,24	0,12	-999,0	0,12	-999,0	0,12	-999,0	0,12	7,32	0,12	-999,0	0,12	-999,0	0,12	8,31	0,12	-999,0	0,12	-999,0	0,12	-999,0
5,04	5,78	4,30	0,13	6,33	0,13	5,65	0,13	4,00	0,13	6,95	0,13	4,15	0,13	19,56	0,13	5,68	0,13	4,33	0,13	10,70	0,13	4,84	0,13	6,75	0,13	4,21	0,13	5,47	0,13	6,05	0,13	5,32	0,13	5,64	0,13	4,92	0,13	6,25	0,13	4,08	0,13	4,86	0,13	5,23	0,13	-999,0	0,13	-999,0	0,13	-999,0	0,13	7,29	0,13	-999,0	0,13	-999,0	0,13	8,31	0,13	-999,0	0,13	-999,0	0,13	-999,0
5,04	5,78	4,30	0,15	6,32	0,15	5,65	0,15	4,00	0,15	6,94	0,15	4,15	0,15	19,49	0,15	5,69	0,15	4,33	0,15	10,70	0,15	4,84	0,15	6,77	0,15	4,21	0,15	5,47	0,15	6,06	0,15	5,31	0,15	5,62	0,15	4,91	0,15	6,22	0,15	4,07	0,15	4,86	0,15	5,23	0,15	-999,0	0,15	-999,0	0,15	-999,0	0,15	7,27	0,15	-999,0	0,15	-999,0	0,15	8,30	0,15	-999,0	0,15	-999,0	0,15	-999,0
