Sigla Latitude Longitude
ALAR -9.749 -36.653
BAIR -11.306 -41.859
BATF -17.555 -39.743
BAVC -14.888 -40.803
BELE -1.409 -48.463
BOAV 2.845 -60.701
BRAZ -15.947 -47.878
BRFT -3.877 -38.426
CEEU -3.878 -38.426
CEFE -20.311 -40.319
CEFT -3.711 -38.473
CHPI -22.687 -44.985
CUIB -15.555 -56.070
GOJA -17.883 -51.726
ILHA -20.428 -51.343
IMBT -28.235 -48.656
IMPZ -5.492 -47.497
MABA -5.362 -49.122
MGBH -19.942 -43.925
MGIN -22.319 -46.328
MGMC -16.716 -43.858
MGRP -19.210 -46.133
MGUB -18.919 -48.256
MSCG -20.441 -54.541
MTCN -13.556 -52.271
MTCO -10.804 -55.456
MTSF -11.619 -50.664
MTSR -12.545 -55.727
NAUS -3.023 -60.055
NEIA -25.020 -47.925
ONRJ -22.896 -43.224
PAIT -4.288 -56.036
PBCG -7.214 -35.907
PEPE -9.384 -40.506
PISR -9.031 -42.703
PITN -5.102 -42.793
POAL -30.074 -51.120
POLI -22.318 -44.327
POVE -8.709 -63.896
PPTE -22.120 -51.409
PRGU -25.384 -51.488
PRMA -23.410 -51.938
RIOB -9.965 -67.803
RIOD -22.818 -43.306
RJCG -21.765 -41.326
RNMO -5.204 -37.325
RNNA -5.836 -35.208
ROCD -13.122 -60.544
ROGM -10.784 -65.331
ROJI -10.864 -61.960
ROSA -22.523 -52.952
SAGA -0.144 -67.058
SALU -12.975 -38.516
SAVO -12.939 -38.432
SCCH -27.138 -52.600
SCLA -27.793 -50.304
SJRP -20.786 -49.360
SMAR -29.719 -53.717
SPAR -21.185 -50.440
SSA1 -12.975 -38.516
TOGU -11.747 -49.049
TOPL -10.171 -48.331
UFPR -25.448 -49.231
VICO -20.762 -42.870
